	Series1_NHBE_Mock_1	Series1_NHBE_Mock_2	Series1_NHBE_Mock_3
P4HA3	8	5	6
PGM2L1	416	400	813
KCNE3	28	25	20
LIPT2	12	5	7
POLD3	212	190	327
CHRDL2	0	0	0
MIR4696	0	0	0
RNF169	445	404	705
XRRA1	184	192	280
SPCS2	384	337	500
NEU3	96	88	128
OR2AT4	0	0	0
SLCO2B1	0	0	0
TPBGL	1	2	0
ARRB1	35	38	65
MIR326	0	0	0
RPS3	27892	23368	40774
SNORD15A	4	0	13
SNORD15B	3	3	8
KLHL35	0	4	0
GDPD5	42	31	35
SERPINH1	2817	2713	3692
MAP6	7	13	24
MOGAT2	3	0	0
LOC283214	0	0	0
DGAT2	30	17	28
UVRAG	176	139	307
WNT11	1	1	0
LRRC32	2	3	4
GUCY2EP	0	0	0
TSKU	1178	1378	1803
ACER3	156	157	373
B3GNT6	3	11	0
CAPN5	115	102	137
OMP	0	0	1
MYO7A	7	9	14
GDPD4	0	0	0
PAK1	1122	1027	1726
AQP11	0	1	0
CLNS1A	1982	1695	2508
RSF1	1169	1054	1907
AAMDC	148	123	217
INTS4	253	220	360
NDUFC2-KCTD14	0	0	0
KCTD14	0	0	0
THRSP	0	0	0
NDUFC2	48	30	76
ALG8	177	177	345
KCTD21	214	218	313
USP35	227	233	345
GAB2	251	279	376
NARS2	106	102	178
TENM4	575	466	702
MIR708	0	0	0
MIR5579	0	0	0
MIR4300	0	0	0
FAM181B	15	13	16
PRCP	629	630	1081
RAB30	132	114	223
SNORA70E	0	0	0
PCF11	774	751	1255
ANKRD42	162	152	258
CCDC90B	723	706	1288
DLG2	17	13	21
TMEM126B	212	175	373
TMEM126A	66	91	160
CREBZF	425	465	556
CCDC89	0	1	1
SYTL2	175	224	385
CCDC83	1	0	0
PICALM	2382	2148	4235
EED	167	141	257
CCDC81	0	4	13
ME3	37	52	55
PRSS23	4891	4525	6982
OR7E2P	0	0	0
FZD4	41	30	43
LOC100506368	0	0	0
TMEM135	162	169	419
RAB38	587	494	887
CTSC	2218	2115	3644
GRM5-AS1	0	0	0
GRM5	1	0	0
TYR	0	0	0
NOX4	3	2	0
FOLH1B	0	0	0
TRIM77	0	0	0
TRIM49	0	0	2
MIR5692A1	0	0	0
TRIM53AP	0	0	0
TRIM64B	0	0	0
TRIM64	0	0	0
TRIM49C	0	0	0
UBTFL1	0	0	0
NAALAD2	0	0	0
CHORDC1	574	510	1105
MIR4490	0	0	0
FAT3	0	0	0
MTNR1B	0	0	0
SLC36A4	28	24	79
SCARNA9	0	1	6
SNORA25	0	1	7
SNORA32	2	0	1
SNORD6	0	0	0
SNORA1	0	0	1
SNORA8	10	12	24
SNORD5	3	2	8
SNORA18	19	27	38
MIR1304	3	4	2
SNORA40	23	20	110
TAF1D	592	577	958
C11orf54	66	58	87
MED17	279	298	575
VSTM5	2	7	5
HEPHL1	125	101	156
PANX1	456	386	791
GPR83	0	5	0
ANKRD49	117	159	307
FUT4	26	25	38
PIWIL4	6	1	2
AMOTL1	3963	3426	5839
CWC15	450	371	659
KDM4D	14	12	14
KDM4E	0	0	4
SRSF8	568	490	767
ENDOD1	1497	1536	2215
SESN3	1037	1215	2571
FAM76B	147	183	312
CEP57	235	214	460
MTMR2	457	424	988
MAML2	500	369	724
MIR1260B	0	1	0
CCDC82	252	260	729
JRKL	287	252	552
JRKL-AS1	0	0	0
CNTN5	0	3	3
ARHGAP42	66	54	90
PGR	0	0	0
TRPC6	1	6	4
MIR3920	0	0	0
ANGPTL5	0	0	0
YAP1	1574	1370	2549
BIRC3	102	85	199
BIRC2	269	318	838
TMEM123	2555	2680	4942
MMP7	23	33	37
MMP20	0	0	0
MMP27	0	0	0
MMP8	0	0	0
MMP10	148	116	210
WTAPP1	7	8	1
MMP1	339	250	531
MMP3	14	9	8
MMP12	2	1	7
MMP13	38	39	50
DCUN1D5	600	541	1057
DYNC2H1	216	256	560
MIR4693	0	0	0
PDGFD	9	19	20
DDI1	0	0	0
CASP12	0	0	0
CASP4	1384	1173	1966
CASP5	2	0	5
CASP1	307	303	540
CARD16	87	74	137
CARD17	21	14	17
CARD18	8	3	6
GRIA4	0	0	0
MSANTD4	193	173	339
KBTBD3	40	42	62
AASDHPPT	316	305	636
GUCY1A2	0	0	0
CWF19L2	245	150	325
ALKBH8	192	135	347
ELMOD1	0	1	1
SLN	0	0	0
SLC35F2	1000	803	1256
RAB39A	0	0	0
CUL5	278	331	639
ACAT1	488	428	777
NPAT	164	133	187
ATM	381	376	775
C11orf65	42	23	64
KDELC2	39	30	72
EXPH5	172	165	286
DDX10	643	526	918
C11orf87	0	1	0
ZC3H12C	153	159	301
RDX	2343	2110	3749
FDX1	227	171	322
ARHGAP20	3	2	8
C11orf53	0	0	0
MIR4491	0	0	0
POU2AF1	23	23	28
LOC100132078	0	0	0
BTG4	1	1	15
MIR34B	0	0	0
MIR34C	1	0	4
C11orf88	0	1	2
LAYN	290	253	375
SIK2	345	304	456
PPP2R1B	423	365	648
ALG9	406	364	700
FDXACB1	24	26	25
C11orf1	325	259	413
CRYAB	150	190	240
HSPB2-C11orf52	0	0	0
HSPB2	0	0	0
C11orf52	0	0	0
DIXDC1	336	275	477
DLAT	511	423	943
PIH1D2	9	8	8
TIMM8B	342	270	357
SDHD	317	253	449
IL18	465	805	2241
TEX12	0	0	0
BCO2	36	21	66
PTS	193	155	266
NCAM1	0	1	0
TTC12	253	199	405
ANKK1	4	9	7
DRD2	3	0	0
MIR4301	0	0	0
TMPRSS5	2	0	4
ZW10	220	222	474
CLDN25	0	0	0
USP28	249	229	445
HTR3B	1	0	0
HTR3A	0	1	2
ZBTB16	5	8	9
NNMT	11	8	11
C11orf71	12	14	31
RBM7	238	200	538
REXO2	1817	1812	3307
NXPE1	0	0	0
NXPE4	0	0	0
NXPE2	0	0	0
CADM1	13	15	21
BUD13	235	208	330
APOA5	0	0	0
APOA4	0	0	0
APOC3	0	0	0
APOA1	1	0	0
SIK3	572	511	809
PAFAH1B2	1715	1779	3575
SIDT2	456	410	603
LOC100652768	16	22	11
TAGLN	43	48	71
PCSK7	552	527	793
RNF214	392	325	512
BACE1	328	315	527
BACE1-AS	2	9	15
CEP164	502	527	732
DSCAML1	0	0	0
FXYD2	0	0	0
FXYD6-FXYD2	0	0	0
FXYD6	0	0	0
TMPRSS13	55	46	55
IL10RA	0	0	0
TMPRSS4	1417	1469	2159
SCN4B	56	56	61
SCN2B	46	24	44
MPZL3	174	136	257
MPZL2	1005	1196	2461
CD3E	0	0	0
CD3D	0	0	0
CD3G	0	0	0
UBE4A	856	758	1296
LOC100131626	2	1	0
TTC36	0	1	3
TMEM25	267	285	361
IFT46	296	247	390
ARCN1	2620	2273	4124
PHLDB1	1175	1185	1683
TREH	1	2	2
DDX6	3178	2659	4839
CXCR5	0	0	0
BCL9L	3785	3728	4940
MIR4492	0	0	0
UPK2	25	19	26
FOXR1	0	0	0
CCDC84	126	156	200
RPL23AP64	0	0	0
RPS25	21187	17956	29702
TRAPPC4	305	237	434
SLC37A4	146	155	180
HYOU1	3354	2917	4553
VPS11	688	630	944
HMBS	171	142	240
H2AFX	140	145	222
DPAGT1	498	438	669
C2CD2L	91	97	155
HINFP	231	232	300
ABCG4	4	13	6
NLRX1	170	200	282
PDZD3	2	0	0
CCDC153	5	7	11
CBL	728	629	1045
MCAM	3005	2733	4182
RNF26	410	443	576
C1QTNF5	0	0	0
MFRP	0	0	0
USP2	27	33	54
THY1	12	11	10
TRIM29	5587	5430	7669
OAF	445	399	499
POU2F3	13	13	14
LOC649133	0	2	0
TMEM136	35	32	68
ARHGEF12	1897	1738	3051
GRIK4	0	0	0
TBCEL	158	141	312
TECTA	5	5	12
SORL1	564	446	730
MIR100HG	86	108	221
MIR125B1	0	0	0
BLID	0	0	5
MIRLET7A2	0	0	0
MIR100	0	0	0
UBASH3B	340	321	601
CRTAM	1	0	4
BSX	0	0	0
LOC341056	3	1	3
HSPA8	25652	20647	37640
CLMP	156	140	237
MIR4493	0	0	0
GRAMD1B	35	20	40
SCN3B	11	7	35
ZNF202	183	155	300
OR6X1	0	0	0
OR6M1	0	0	0
TMEM225	0	0	0
OR8D4	0	0	0
OR4D5	0	0	0
OR6T1	0	0	0
OR10S1	0	0	0
OR10G4	0	0	0
OR10G9	0	0	0
OR10G8	0	0	0
OR10G7	0	0	0
VWA5A	481	477	740
OR8G1	0	0	0
OR8G5	0	0	0
OR8D1	0	0	0
OR8D2	0	0	0
OR8B2	0	0	0
OR8B3	0	0	0
OR8B4	0	0	0
OR8B8	0	0	0
OR8B12	0	0	0
OR8A1	0	0	0
PANX3	0	0	0
TBRG1	549	603	934
SIAE	562	514	792
SPA17	226	143	282
NRGN	17	12	18
VSIG2	62	54	95
ESAM	2	1	4
MSANTD2	107	147	195
ROBO3	194	221	248
ROBO4	2	1	1
HEPN1	0	0	0
HEPACAM	0	0	0
CCDC15	39	32	86
SLC37A2	181	165	214
TMEM218	98	115	170
PKNOX2	0	0	0
FEZ1	784	568	953
EI24	2931	2604	4014
STT3A	3278	3270	5218
CHEK1	183	131	263
ACRV1	0	0	0
PATE1	0	0	0
PATE2	0	0	0
PATE3	0	0	0
PATE4	0	0	0
HYLS1	39	28	111
PUS3	332	285	400
DDX25	1	0	1
CDON	36	37	52
RPUSD4	187	137	186
FAM118B	261	226	367
FOXRED1	164	162	226
TIRAP	53	42	74
DCPS	212	165	247
ST3GAL4	143	151	202
KIRREL3	0	0	0
KIRREL3-AS2	0	0	0
MIR3167	0	0	0
KIRREL3-AS3	0	0	0
ETS1	928	773	1661
FLI1	143	130	262
KCNJ1	0	3	1
KCNJ5	68	72	85
C11orf45	166	158	232
TP53AIP1	83	101	134
ARHGAP32	1399	1301	1881
BARX2	111	117	176
TMEM45B	34	24	55
NFRKB	407	434	596
PRDM10	281	270	438
LINC00167	0	0	0
APLP2	15445	13444	20711
ST14	3566	3812	5085
ZBTB44	322	350	636
ADAMTS8	0	0	0
ADAMTS15	107	108	133
C11orf44	6	1	13
SNX19	1467	1390	2163
NTM	284	207	376
OPCML	0	0	7
SPATA19	1	6	4
MIR4697	0	0	0
IGSF9B	4	1	3
LOC100128239	0	0	2
JAM3	24	17	21
NCAPD3	376	333	530
VPS26B	540	442	876
THYN1	448	337	612
ACAD8	230	166	309
GLB1L3	36	27	35
GLB1L2	111	84	137
B3GAT1	0	1	0
LOC283177	0	0	0
FAM138D	0	0	0
IQSEC3	1	1	0
LOC574538	0	1	9
SLC6A12	5	1	7
SLC6A13	5	5	7
KDM5A	1242	1061	1779
CCDC77	84	61	109
B4GALNT3	75	69	105
NINJ2	1	0	4
WNK1	5263	4934	8279
RAD52	133	127	192
ERC1	1985	1517	2667
FBXL14	55	56	93
WNT5B	73	44	88
MIR3649	0	0	0
ADIPOR2	982	882	1447
CACNA2D4	0	3	2
LRTM2	0	0	0
DCP1B	210	198	283
CACNA1C	0	0	0
CACNA1C-AS4	0	0	0
CACNA1C-IT3	0	0	0
CACNA1C-AS1	2	0	0
FKBP4	1997	1606	2630
ITFG2	113	124	174
NRIP2	0	0	0
FOXM1	207	195	312
RHNO1	267	201	339
TULP3	433	411	674
TEAD4	22	25	34
TSPAN9	291	309	420
PRMT8	3	8	11
PARP11	38	39	95
CCND2	4624	4500	7772
FGF23	0	0	0
FGF6	0	0	0
C12orf4	244	244	413
RAD51AP1	44	22	67
DYRK4	202	155	298
AKAP3	54	26	52
NDUFA9	504	443	684
GALNT8	0	0	0
KCNA6	1	0	0
KCNA1	0	0	0
KCNA5	0	0	0
NTF3	0	0	2
ANO2	8	3	12
VWF	13	15	14
CD9	5444	4373	6269
PLEKHG6	70	84	87
TNFRSF1A	2098	2062	2617
SCNN1A	5376	5375	7346
LTBR	2158	2086	2589
CD27-AS1	74	73	118
CD27	3	7	0
TAPBPL	68	73	106
VAMP1	82	60	103
MRPL51	2585	2375	4322
NCAPD2	913	758	1369
SCARNA10	0	0	1
GAPDH	72716	64055	97410
IFFO1	15	5	20
NOP2	713	700	1101
CHD4	5692	4871	8093
SCARNA11	0	0	0
LPAR5	143	91	203
ACRBP	7	15	10
ING4	205	154	352
ZNF384	637	590	871
PIANP	2	0	1
COPS7A	597	491	936
MLF2	4012	3831	5722
PTMS	2868	2817	4066
LAG3	2	4	11
CD4	9	9	7
GPR162	0	0	3
GNB3	38	39	65
CDCA3	64	46	64
USP5	1536	1357	2046
TPI1	11637	9976	15749
SPSB2	88	89	106
RPL13P5	6	12	21
DSTNP2	9	8	23
LRRC23	111	94	143
ENO2	303	260	365
ATN1	2399	2269	3129
C12orf57	120	173	228
PTPN6	420	422	483
MIR200C	1	1	0
MIR141	4	10	12
PHB2	1781	1530	2650
SCARNA12	8	4	7
EMG1	431	338	691
LPCAT3	621	650	964
C1S	122	102	105
C1R	81	46	67
C1RL	404	414	576
C1RL-AS1	77	92	95
RBP5	1	0	0
CLSTN3	690	747	1024
PEX5	184	165	327
ACSM4	0	0	0
CD163L1	23	6	13
CD163	0	0	1
APOBEC1	0	0	0
GDF3	0	0	0
DPPA3	0	0	0
CLEC4C	0	0	0
NANOGNB	0	0	0
NANOG	0	0	0
SLC2A14	0	2	0
SLC2A3	121	91	181
FOXJ2	508	463	749
C3AR1	1	4	4
NECAP1	555	485	893
CLEC4A	0	0	4
POU5F1P3	0	0	0
ZNF705A	2	1	0
FAM66C	4	1	14
FAM90A1	5	1	1
FAM86FP	9	5	19
CLEC6A	0	0	0
CLEC4D	0	0	0
CLEC4E	0	0	0
AICDA	0	0	0
MFAP5	259	171	342
RIMKLB	411	382	722
A2ML1	1487	1267	2156
PHC1	110	96	105
M6PR	2149	1830	2769
KLRG1	4	0	1
LINC00612	0	0	4
A2M-AS1	3	3	0
A2M	2	2	0
PZP	0	0	0
A2MP1	0	0	0
MIR1244-3	0	0	0
MIR1244-2	0	0	0
MIR1244-1	0	0	0
LOC642846	12	24	42
DDX12P	27	19	32
KLRB1	0	0	0
LOC374443	51	39	77
CLEC2D	52	47	64
CLECL1	0	0	0
CD69	0	0	0
KLRF1	0	0	0
CLEC2B	170	209	306
KLRF2	0	0	0
CLEC2A	0	0	0
CLEC12A	0	0	0
CLEC1B	0	0	0
CLEC12B	0	0	0
CLEC9A	0	0	0
CLEC1A	0	1	0
CLEC7A	4	7	5
OLR1	29	41	40
TMEM52B	2	1	1
GABARAPL1	988	867	1488
KLRD1	1	0	0
KLRK1	0	0	0
KLRC4-KLRK1	0	0	0
KLRC4	1	1	0
KLRC3	5	12	10
KLRC2	1	0	0
KLRC1	0	1	0
MAGOHB	108	76	177
STYK1	72	78	130
TAS2R7	0	0	0
TAS2R8	0	0	0
TAS2R9	0	0	0
TAS2R10	0	1	2
PRH1-PRR4	12	15	24
PRR4	0	0	0
PRH1	0	0	0
TAS2R13	0	0	0
PRH2	0	0	0
TAS2R14	3	1	2
TAS2R50	1	0	0
TAS2R20	6	7	9
TAS2R19	0	0	0
TAS2R31	2	0	0
TAS2R46	0	0	0
TAS2R43	0	0	2
TAS2R30	0	0	0
TAS2R42	0	0	0
PRB3	1	1	0
PRB4	0	0	0
PRB1	2	0	0
PRB2	1	0	0
ETV6	515	544	939
BCL2L14	5	1	3
LRP6	601	519	1074
MANSC1	302	290	440
LOH12CR2	10	4	6
DUSP16	360	275	507
CREBL2	295	246	399
GPR19	1	0	8
CDKN1B	131	136	210
APOLD1	18	12	49
MIR613	0	0	0
DDX47	858	652	1165
RPL13AP20	7	7	18
GPRC5A	8613	8500	12348
MIR614	92	81	137
GPRC5D	0	0	0
HEBP1	308	302	559
HTR7P1	63	44	73
GSG1	2	0	1
EMP1	1619	1482	2460
GRIN2B	0	0	0
ATF7IP	884	851	1420
PLBD1	22	19	33
GUCY2C	1	0	0
HIST4H4	2	6	6
H2AFJ	269	308	513
WBP11	1475	1219	1923
C12orf60	14	7	17
ART4	0	0	0
MGP	4	0	5
ERP27	27	23	46
ARHGDIB	1581	1139	1868
PDE6H	0	0	0
RERG	4	5	2
PTPRO	1	1	0
EPS8	397	392	663
STRAP	4000	3204	5230
DERA	426	375	636
SLC15A5	0	0	0
MGST1	3525	3350	5845
LMO3	0	0	5
SKP1P2	0	0	1
MIR3974	0	0	0
RERGL	0	0	1
PIK3C2G	5	7	14
PLCZ1	1	0	0
CAPZA3	0	2	0
PLEKHA5	907	811	1610
AEBP2	375	400	691
PDE3A	0	0	0
SLCO1C1	0	0	0
SLCO1B3	2	5	10
SLCO1B7	0	0	0
SLCO1B1	0	0	0
SLCO1A2	0	0	0
IAPP	0	0	0
PYROXD1	117	180	393
RECQL	568	579	1423
GOLT1B	141	172	419
GYS2	0	0	0
LDHB	5341	4359	8091
KCNJ8	1	0	0
ABCC9	41	41	89
CMAS	705	670	1523
ST8SIA1	7	6	5
C2CD5	147	168	318
ETNK1	78	96	183
SOX5	0	0	0
MIR920	0	0	0
LINC00477	0	0	0
BCAT1	96	106	198
C12orf77	0	0	0
LRMP	117	94	145
CASC1	5	1	3
KRAS	392	411	809
MIR4302	0	0	0
RASSF8	158	153	292
BHLHE41	189	202	258
SSPN	7	11	33
ITPR2	505	550	876
FGFR1OP2	211	172	436
TM7SF3	4219	3930	6275
MED21	389	306	816
C12orf71	0	0	2
STK38L	707	684	1239
ARNTL2	632	593	1189
PPFIBP1	1691	1495	2852
REP15	13	8	25
MRPS35	400	341	719
MANSC4	0	0	0
KLHL42	226	233	392
PTHLH	12490	11302	17286
CCDC91	272	306	679
FAR2	26	18	40
ERGIC2	419	511	1165
OVCH1	0	0	0
TMTC1	121	89	151
IPO8	514	452	976
CAPRIN2	689	601	992
TSPAN11	0	3	7
DDX11-AS1	5	4	3
DDX11	150	117	205
FLJ13224	0	0	0
DENND5B	113	84	131
DENND5B-AS1	0	0	0
AMN1	50	45	81
H3F3C	4	0	4
KIAA1551	243	326	718
BICD1	225	176	300
FGD4	281	313	615
DNM1L	1061	993	1966
YARS2	294	269	426
PKP2	1194	1055	1705
SYT10	0	0	0
ALG10	25	11	22
ALG10B	20	24	69
CPNE8	197	164	262
KIF21A	741	560	1091
ABCD2	1	0	0
C12orf40	0	0	0
SLC2A13	27	31	80
LRRK2	5	7	14
CNTN1	190	190	405
PDZRN4	0	0	0
GXYLT1	111	98	241
YAF2	77	105	138
ZCRB1	942	1001	1802
PPHLN1	849	686	1305
PRICKLE1	80	58	110
ADAMTS20	0	0	0
PUS7L	59	63	183
IRAK4	156	146	336
TWF1	1036	860	1780
TMEM117	59	72	148
NELL2	2	1	0
DBX2	0	0	0
RACGAP1P	0	0	0
PLEKHA8P1	48	36	76
RNY5	0	0	0
ANO6	2388	1983	3173
ARID2	716	689	1118
SCAF11	2155	1968	3497
SLC38A1	2983	3096	5727
SLC38A2	3619	4086	8809
SLC38A4	31	20	33
AMIGO2	790	731	1219
MIR4698	0	0	0
PCED1B-AS1	0	0	0
PCED1B	112	101	100
RPAP3	813	717	1290
ENDOU	0	1	3
RAPGEF3	152	194	216
SLC48A1	273	313	379
HDAC7	670	667	961
VDR	723	582	1000
TMEM106C	301	278	484
COL2A1	1	0	0
SENP1	264	228	357
PFKM	816	735	1111
ASB8	258	205	344
OR10AD1	0	0	0
H1FNT	0	0	0
ZNF641	191	178	197
ANP32D	0	0	0
C12orf54	52	40	68
OR8S1	0	0	0
LALBA	0	0	0
KANSL2	232	199	314
MIR1291	0	0	0
SNORA2A	0	0	0
SNORA2B	0	0	0
CCNT1	466	447	815
ADCY6	811	894	1273
MIR4701	0	0	0
CACNB3	436	488	716
DDX23	1708	1423	2437
RND1	26	22	35
CCDC65	0	0	0
FKBP11	69	78	107
ARF3	4203	3669	5881
WNT10B	1	1	2
WNT1	0	0	0
DDN	4	3	3
PRKAG1	863	781	1286
RHEBL1	3	2	0
DHH	1	1	0
LMBR1L	189	220	328
TUBA1B	5320	3844	6837
TUBA1A	4888	3771	6486
TUBA1C	2583	1957	3397
PRPH	1	0	0
TROAP	41	41	57
C1QL4	0	0	0
DNAJC22	7	4	5
SPATS2	495	429	899
LOC100335030	2	0	2
KCNH3	0	1	0
MCRS1	334	330	546
FAM186B	3	0	3
PRPF40B	258	200	335
FMNL3	69	45	40
TMBIM6	8214	7750	13126
NCKAP5L	306	365	452
BCDIN3D-AS1	1	1	2
BCDIN3D	67	60	94
FAIM2	0	0	0
AQP2	0	0	0
AQP5	0	2	1
AQP6	1	0	0
RACGAP1	697	580	1029
ASIC1	142	107	179
SMARCD1	683	614	917
GPD1	4	5	9
COX14	237	203	290
CERS5	401	353	536
LIMA1	8301	7283	12445
MIR1293	0	0	0
FAM186A	0	0	0
LARP4	845	754	1333
DIP2B	1944	1787	2868
ATF1	246	195	403
TMPRSS12	0	0	0
METTL7A	151	170	265
HIGD1C	0	0	0
SLC11A2	462	447	829
LETMD1	219	228	379
CSRNP2	369	375	601
TFCP2	790	599	1000
POU6F1	6	12	12
DAZAP2	2936	2472	4280
SMAGP	428	395	610
BIN2	2	0	0
CELA1	0	0	0
GALNT6	381	350	601
SLC4A8	6	11	17
SCN8A	17	6	14
FIGNL2	0	0	0
ANKRD33	0	0	0
ACVRL1	0	0	0
ACVR1B	457	418	610
GRASP	0	2	1
NR4A1	7	5	2
KRT80	295	288	417
LINC00592	11	14	15
KRT7	25281	25163	37265
KRT81	6	12	26
KRT86	0	2	6
KRT83	0	0	1
KRT85	0	0	0
KRT84	0	0	0
KRT82	0	0	0
KRT75	15	13	33
KRT6B	1111	1085	2026
KRT6C	85	92	134
KRT6A	64852	61023	108942
KRT5	118577	111764	170196
KRT71	0	0	0
KRT74	3	19	10
KRT72	0	0	2
KRT73	0	0	0
KRT2	0	0	0
KRT1	0	0	0
KRT77	0	0	0
KRT76	0	0	0
KRT3	0	0	1
KRT4	220	159	315
KRT79	0	1	1
KRT78	2	4	2
KRT8	4355	4251	6003
KRT18	4047	3312	5402
EIF4B	7724	5929	9554
LOC283335	51	56	92
SPRYD3	906	798	1111
IGFBP6	568	701	800
SOAT2	0	2	1
CSAD	126	144	164
ZNF740	471	443	700
ITGB7	49	67	77
RARG	789	750	1137
MFSD5	281	293	404
ESPL1	51	47	91
PFDN5	6504	5031	6759
C12orf10	121	117	237
AAAS	432	438	543
SP7	0	0	0
SP1	1561	1389	2280
AMHR2	0	0	1
PRR13	1502	1227	1936
PCBP2	2710	2366	3508
MAP3K12	192	191	242
TARBP2	159	196	272
NPFF	4	16	19
ATF7	1035	935	1477
LOC100652999	6	5	0
CALCOCO1	1722	1564	2258
HOXC13	0	1	2
HOXC12	0	0	0
HOTAIR	0	0	0
HOXC11	0	0	0
HOXC10	0	3	0
MIR196A2	0	0	0
HOXC9	2	0	0
HOXC8	0	0	0
HOXC4	0	1	1
HOXC5	0	0	0
HOXC6	0	0	0
MIR615	0	0	0
FLJ12825	0	0	0
LOC100240735	0	0	0
LOC100240734	0	0	0
SMUG1	309	300	414
CBX5	1044	924	1514
MIR3198-2	0	0	0
HNRNPA1	210	199	424
HNRNPA1P10	0	0	0
NFE2	1	4	2
COPZ1	1729	1362	2386
MIR148B	0	0	0
GPR84	4	1	0
ZNF385A	2235	2398	3084
ITGA5	3729	3312	4878
GTSF1	0	0	0
NCKAP1L	0	0	5
PDE1B	0	0	0
PPP1R1A	0	0	0
GLYCAM1	0	0	0
LACRT	0	0	0
DCD	0	0	0
MUCL1	3	1	4
TESPA1	0	0	0
NEUROD4	0	0	0
OR9K2	0	0	0
OR10A7	0	0	0
OR6C74	0	0	0
OR6C6	0	0	0
OR6C1	0	0	0
OR6C3	0	0	0
OR6C75	0	0	0
OR6C65	0	0	0
OR6C76	0	0	0
OR6C2	0	0	0
OR6C70	0	0	0
OR6C68	0	0	0
OR6C4	0	0	0
OR2AP1	0	0	0
OR10P1	0	0	0
METTL7B	0	1	0
ITGA7	6	6	14
BLOC1S1	63	52	71
BLOC1S1-RDH5	0	0	0
RDH5	0	4	0
CD63	6770	6151	9633
GDF11	255	251	397
SARNP	1098	948	1478
ORMDL2	638	618	868
DNAJC14	650	576	927
TMEM198B	234	339	363
MMP19	10	14	12
DGKA	2750	2562	3836
PMEL	15	10	23
CDK2	272	239	409
RAB5B	3324	2805	4716
SUOX	324	277	378
IKZF4	73	60	116
RPS26	5220	4365	4965
ERBB3	888	812	937
PA2G4	3654	3234	5157
RPL41	5050	3788	6815
ZC3H10	50	57	76
ESYT1	2179	1823	2836
MYL6B	340	301	517
MYL6	21395	18073	29323
SMARCC2	1684	1611	2441
RNF41	434	362	610
NABP2	428	393	577
SLC39A5	0	0	0
ANKRD52	1890	1897	2850
COQ10A	30	25	63
CS	2427	2073	3282
CNPY2	669	630	887
PAN2	414	351	560
IL23A	10	5	13
STAT2	1388	1385	2036
APOF	0	0	0
TIMELESS	213	184	274
MIP	0	0	2
SPRYD4	181	140	233
GLS2	19	16	44
RBMS2	2329	1916	3238
BAZ2A	3525	3146	5091
SNORD59B	2	2	0
SNORD59A	0	0	1
PTGES3	1314	1490	3122
NACA	6051	4475	7308
PRIM1	30	22	54
HSD17B6	3	1	7
SDR9C7	1	0	0
RDH16	19	27	39
GPR182	0	0	0
ZBTB39	163	172	267
TAC3	2	0	0
MYO1A	2	1	10
NAB2	274	244	418
STAT6	2863	2818	4113
LRP1	4968	4998	7031
MIR1228	0	0	0
NXPH4	70	113	112
SHMT2	1110	957	1547
NDUFA4L2	283	306	419
STAC3	21	13	20
R3HDM2	830	765	1180
INHBC	0	0	0
INHBE	1	0	0
GLI1	12	15	9
ARHGAP9	0	0	0
MARS	1294	1125	1984
DDIT3	173	171	299
MBD6	677	665	914
DCTN2	1793	1505	2659
KIF5A	15	6	7
PIP4K2C	1291	1047	1601
DTX3	78	59	103
ARHGEF25	5	9	7
SLC26A10	0	0	0
B4GALNT1	7	14	13
OS9	2652	2395	3714
AGAP2	6	6	11
TSPAN31	395	419	582
CDK4	379	261	497
MARCH9	152	170	235
CYP27B1	57	32	75
METTL1	125	103	142
TSFM	267	197	358
AVIL	21	18	51
CTDSP2	1159	957	1445
MIR26A2	0	0	0
LOC100506844	9	13	19
LRIG3	348	344	429
SLC16A7	43	49	74
FAM19A2	7	13	12
USP15	1122	1011	1575
MON2	265	252	592
MIRLET7I	0	0	1
PPM1H	81	64	103
AVPR1A	1	0	0
DPY19L2	2	3	0
SRGAP1	467	449	782
C12orf66	65	46	94
C12orf56	1	2	1
XPOT	958	988	2571
TBK1	324	337	670
RASSF3	285	225	453
MIR548C	0	0	0
MIR548Z	0	0	0
GNS	1414	1288	2130
TBC1D30	25	36	31
WIF1	0	0	0
LEMD3	200	240	413
MSRB3	147	145	264
RPSAP52	28	19	45
HMGA2	792	734	1502
LLPH	1147	826	1300
TMBIM4	71	71	104
IRAK3	75	78	140
HELB	8	18	46
GRIP1	198	189	281
CAND1	1194	1242	2740
DYRK2	273	235	448
IFNG	0	0	0
IL26	0	0	0
IL22	0	0	0
MDM1	123	104	160
RAP1B	402	543	1581
SNORA70G	0	0	0
LOC100507250	2	1	1
NUP107	438	462	944
SLC35E3	95	97	153
LOC100130075	0	0	0
MDM2	1569	1679	3299
CPM	105	97	160
CPSF6	991	891	1415
MIR1279	0	0	0
LYZ	3	0	0
YEATS4	32	54	110
FRS2	246	229	475
MIR3913-1	0	0	0
MIR3913-2	0	0	0
CCT2	1427	1302	2847
LRRC10	0	0	0
BEST3	0	1	0
RAB3IP	334	294	508
CNOT2	995	783	1390
KCNMB4	70	50	63
PTPRB	116	91	151
PTPRR	15	6	30
TSPAN8	0	1	0
LGR5	2	0	0
ZFC3H1	750	854	1629
THAP2	88	75	133
TMEM19	217	206	350
RAB21	461	462	797
TBC1D15	397	371	498
MRS2P2	0	0	0
TPH2	0	0	0
TRHDE-AS1	0	1	0
TRHDE	2	0	5
LOC100507377	0	0	0
