	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3
MIR4493	0	0	0
GRAMD1B	51	30	114
SCN3B	11	11	30
ZNF202	146	180	510
OR6X1	0	0	0
OR6M1	0	0	0
TMEM225	0	0	0
OR8D4	0	0	0
OR4D5	0	0	0
OR6T1	0	0	0
OR10S1	0	0	0
OR10G4	0	0	0
OR10G9	0	0	0
OR10G8	0	0	0
OR10G7	0	0	0
VWA5A	354	371	1130
OR8G1	0	0	0
OR8G5	0	0	0
OR8D1	0	0	0
OR8D2	0	0	0
OR8B2	0	0	0
OR8B3	0	0	0
OR8B4	0	0	0
OR8B8	0	0	0
OR8B12	0	0	0
OR8A1	0	0	0
PANX3	0	0	0
TBRG1	558	551	1602
SIAE	408	417	1400
SPA17	163	163	475
NRGN	5	6	24
VSIG2	47	40	172
ESAM	1	0	6
MSANTD2	101	100	283
ROBO3	272	180	501
ROBO4	0	1	9
HEPN1	0	0	0
HEPACAM	0	0	0
CCDC15	13	22	71
SLC37A2	138	146	517
TMEM218	68	78	231
PKNOX2	0	0	9
FEZ1	884	889	2807
EI24	2290	2414	7489
STT3A	2583	3136	8508
CHEK1	134	139	496
ACRV1	0	0	0
PATE1	0	0	0
PATE2	0	0	0
PATE3	0	0	0
PATE4	0	0	0
HYLS1	38	37	100
PUS3	232	297	918
DDX25	0	0	3
CDON	30	32	95
RPUSD4	131	145	441
FAM118B	244	275	713
FOXRED1	166	180	455
TIRAP	46	33	114
DCPS	169	156	531
ST3GAL4	171	146	442
KIRREL3	0	0	0
KIRREL3-AS2	0	0	0
MIR3167	0	0	0
KIRREL3-AS3	0	0	2
ETS1	1091	1191	3651
FLI1	160	151	460
KCNJ1	5	2	0
KCNJ5	44	53	125
C11orf45	106	138	318
TP53AIP1	51	54	169
ARHGAP32	1205	1258	3822
BARX2	105	93	309
TMEM45B	29	46	108
NFRKB	422	432	1164
PRDM10	257	259	847
LINC00167	0	0	0
APLP2	12242	12908	36984
ST14	4342	2927	8871
ZBTB44	260	269	815
ADAMTS8	0	0	0
ADAMTS15	67	76	172
C11orf44	4	4	12
SNX19	1139	1275	3471
NTM	209	248	709
OPCML	0	0	3
SPATA19	0	3	0
MIR4697	0	0	0
IGSF9B	5	2	10
LOC100128239	1	3	0
JAM3	11	14	27
NCAPD3	325	369	982
VPS26B	488	452	1467
THYN1	328	338	1227
ACAD8	220	192	657
GLB1L3	33	44	86
GLB1L2	97	91	269
B3GAT1	0	0	2
LOC283177	0	0	0
FAM138D	0	0	0
IQSEC3	2	1	0
LOC574538	0	1	1
SLC6A12	3	5	3
SLC6A13	3	5	15
KDM5A	970	1048	2981
CCDC77	57	90	220
B4GALNT3	75	67	231
NINJ2	4	0	1
WNK1	3849	4343	12035
RAD52	99	102	341
ERC1	1454	1730	5106
FBXL14	82	38	143
WNT5B	73	60	139
MIR3649	0	0	0
ADIPOR2	888	902	2664
CACNA2D4	3	1	1
LRTM2	0	0	0
DCP1B	200	175	442
CACNA1C	1	0	0
CACNA1C-AS4	0	0	0
CACNA1C-IT3	0	0	0
CACNA1C-AS1	0	0	0
FKBP4	1730	1916	5849
ITFG2	103	87	225
NRIP2	0	1	0
FOXM1	196	164	524
RHNO1	206	237	568
TULP3	347	385	1346
TEAD4	27	14	52
TSPAN9	253	211	700
PRMT8	2	2	9
PARP11	29	40	85
CCND2	3623	3602	10845
FGF23	0	0	0
FGF6	0	0	0
C12orf4	197	212	542
RAD51AP1	28	32	78
DYRK4	179	192	567
AKAP3	29	27	134
NDUFA9	421	494	1468
GALNT8	0	0	0
KCNA6	0	0	0
KCNA1	0	0	0
KCNA5	0	0	0
NTF3	0	0	0
ANO2	2	0	3
VWF	14	10	32
CD9	4260	4493	10459
PLEKHG6	91	68	167
TNFRSF1A	1946	1656	4961
SCNN1A	4654	4299	12031
LTBR	2301	1910	5439
CD27-AS1	78	77	206
CD27	1	1	3
TAPBPL	65	62	143
VAMP1	54	46	115
MRPL51	1869	2080	6411
NCAPD2	697	713	2090
SCARNA10	1	0	7
GAPDH	65758	57945	189586
IFFO1	11	8	18
NOP2	806	741	2383
CHD4	4435	5025	14006
SCARNA11	1	1	0
LPAR5	118	96	318
ACRBP	3	2	12
ING4	141	173	450
ZNF384	532	546	1708
PIANP	1	1	0
COPS7A	594	492	1556
MLF2	3886	3213	10041
PTMS	2469	2362	7329
LAG3	3	1	2
CD4	4	7	15
GPR162	0	1	1
GNB3	33	35	61
CDCA3	40	46	125
USP5	1601	1325	4185
TPI1	10277	10137	31449
SPSB2	78	60	140
RPL13P5	13	14	33
DSTNP2	8	14	25
LRRC23	89	76	310
ENO2	327	323	864
ATN1	2514	1983	5885
C12orf57	202	110	356
PTPN6	364	281	933
MIR200C	0	1	1
MIR141	7	11	23
PHB2	1670	1540	4886
SCARNA12	12	7	19
EMG1	333	340	1068
LPCAT3	417	463	1327
C1S	141	182	385
C1R	98	97	224
C1RL	389	402	1074
C1RL-AS1	86	98	281
RBP5	0	2	4
CLSTN3	717	614	1883
PEX5	181	162	479
ACSM4	0	0	0
CD163L1	8	12	20
CD163	0	0	0
APOBEC1	0	0	0
GDF3	0	0	0
DPPA3	0	0	0
CLEC4C	0	0	0
NANOGNB	0	0	0
NANOG	0	0	0
SLC2A14	1	0	0
SLC2A3	119	75	240
FOXJ2	426	445	1243
C3AR1	3	0	4
NECAP1	422	462	1495
CLEC4A	0	1	0
POU5F1P3	0	0	0
ZNF705A	0	0	0
FAM66C	6	3	18
FAM90A1	2	1	12
FAM86FP	5	4	16
CLEC6A	0	0	0
CLEC4D	0	0	0
CLEC4E	0	0	0
AICDA	0	0	0
MFAP5	174	211	649
RIMKLB	362	431	1077
A2ML1	1259	1280	5239
PHC1	90	101	279
M6PR	1733	1911	5170
KLRG1	0	0	1
LINC00612	0	1	0
A2M-AS1	1	0	12
A2M	1	0	8
PZP	0	0	0
A2MP1	0	0	0
MIR1244-3	0	0	0
MIR1244-2	0	0	0
MIR1244-1	0	0	0
LOC642846	30	22	89
DDX12P	17	14	49
KLRB1	0	0	0
LOC374443	21	31	98
CLEC2D	38	42	101
CLECL1	0	0	3
CD69	0	0	0
KLRF1	0	0	5
CLEC2B	146	169	436
KLRF2	0	0	0
CLEC2A	0	0	0
CLEC12A	0	0	0
CLEC1B	0	0	0
CLEC12B	0	0	4
CLEC9A	0	0	0
CLEC1A	0	0	0
CLEC7A	1	5	9
OLR1	27	41	79
TMEM52B	1	2	8
GABARAPL1	823	915	2384
KLRD1	1	0	0
KLRK1	0	0	0
KLRC4-KLRK1	0	0	0
KLRC4	0	1	0
KLRC3	12	5	2
KLRC2	1	1	2
KLRC1	0	0	4
MAGOHB	77	90	233
STYK1	75	74	237
TAS2R7	0	0	0
TAS2R8	0	0	0
TAS2R9	0	0	0
TAS2R10	0	0	1
PRH1-PRR4	12	7	28
PRR4	0	0	0
PRH1	0	0	0
TAS2R13	0	0	0
PRH2	0	0	0
TAS2R14	1	1	9
TAS2R50	0	1	0
TAS2R20	3	5	7
TAS2R19	1	0	0
TAS2R31	0	0	0
TAS2R46	0	0	0
TAS2R43	0	0	0
TAS2R30	0	0	0
TAS2R42	0	0	0
PRB3	1	0	0
PRB4	0	0	1
PRB1	0	0	4
PRB2	0	0	0
ETV6	581	521	1733
BCL2L14	3	0	3
LRP6	513	504	1624
MANSC1	278	268	771
LOH12CR2	2	2	4
DUSP16	323	348	979
CREBL2	207	184	556
GPR19	0	1	0
CDKN1B	121	97	291
APOLD1	13	12	38
MIR613	0	0	0
DDX47	642	710	2109
RPL13AP20	16	6	50
GPRC5A	7401	8381	25832
MIR614	116	82	235
GPRC5D	1	1	0
HEBP1	245	287	808
HTR7P1	32	25	98
GSG1	1	0	0
EMP1	1399	1523	5457
GRIN2B	0	0	0
ATF7IP	748	722	2086
PLBD1	14	18	59
GUCY2C	0	0	0
HIST4H4	6	5	12
H2AFJ	361	173	601
WBP11	1185	1111	3329
C12orf60	8	8	26
ART4	0	0	0
MGP	0	3	4
ERP27	21	13	69
ARHGDIB	1094	1119	3872
PDE6H	0	0	0
RERG	2	3	10
PTPRO	0	0	1
EPS8	254	313	907
STRAP	3110	3536	9257
DERA	302	376	1028
SLC15A5	0	0	0
MGST1	2361	2969	8964
LMO3	2	1	6
SKP1P2	0	0	1
MIR3974	0	0	0
RERGL	0	0	2
PIK3C2G	4	2	11
PLCZ1	0	0	0
CAPZA3	0	0	0
PLEKHA5	628	673	1960
AEBP2	292	314	866
PDE3A	0	0	0
SLCO1C1	0	0	0
SLCO1B3	0	2	5
SLCO1B7	0	0	0
SLCO1B1	0	0	0
SLCO1A2	0	0	2
IAPP	0	0	0
PYROXD1	176	183	404
RECQL	535	526	1447
GOLT1B	172	153	444
GYS2	0	1	5
LDHB	4468	4723	13592
KCNJ8	0	0	0
ABCC9	23	31	120
CMAS	833	700	1958
ST8SIA1	1	7	26
C2CD5	124	158	444
ETNK1	66	60	201
SOX5	0	0	0
MIR920	0	0	0
LINC00477	0	0	0
BCAT1	69	82	261
C12orf77	0	0	0
LRMP	47	60	132
CASC1	2	3	0
KRAS	420	391	990
MIR4302	0	0	0
RASSF8	130	139	313
BHLHE41	166	160	366
SSPN	14	6	30
ITPR2	406	510	1331
FGFR1OP2	175	173	533
TM7SF3	3122	3522	9331
MED21	241	258	946
C12orf71	1	1	0
STK38L	629	656	1701
ARNTL2	714	766	2358
PPFIBP1	1347	1482	4301
REP15	14	18	25
MRPS35	422	383	1031
MANSC4	0	0	0
KLHL42	233	229	713
PTHLH	11609	12299	35117
CCDC91	288	277	699
FAR2	11	11	69
ERGIC2	385	444	1102
OVCH1	0	0	0
TMTC1	125	111	276
IPO8	426	426	1269
CAPRIN2	599	665	1920
TSPAN11	0	2	11
DDX11-AS1	1	2	13
DDX11	145	116	381
FLJ13224	0	1	0
DENND5B	83	80	217
DENND5B-AS1	0	0	0
AMN1	47	39	123
H3F3C	3	0	7
KIAA1551	243	253	718
BICD1	185	184	476
FGD4	240	272	682
DNM1L	951	1065	2998
YARS2	243	236	710
PKP2	981	963	3104
SYT10	0	0	0
ALG10	11	9	44
ALG10B	28	30	73
CPNE8	131	139	411
KIF21A	544	677	1792
ABCD2	1	0	3
C12orf40	0	0	0
SLC2A13	14	33	44
LRRK2	6	5	7
CNTN1	158	164	491
PDZRN4	0	0	0
GXYLT1	66	80	215
YAF2	61	67	201
ZCRB1	696	852	2200
PPHLN1	599	707	1990
PRICKLE1	46	36	138
ADAMTS20	0	0	0
PUS7L	69	67	214
IRAK4	133	132	360
TWF1	766	792	2368
TMEM117	45	57	128
NELL2	2	3	2
DBX2	0	0	0
RACGAP1P	0	0	0
PLEKHA8P1	51	40	91
RNY5	0	0	0
ANO6	1776	1977	5203
ARID2	555	604	1863
SCAF11	1681	1808	5107
SLC38A1	2699	2829	7999
SLC38A2	4175	3766	10725
SLC38A4	16	32	49
AMIGO2	900	759	2245
MIR4698	0	0	0
PCED1B-AS1	0	2	2
PCED1B	75	57	274
RPAP3	598	667	2015
ENDOU	2	1	0
RAPGEF3	229	160	505
SLC48A1	292	279	740
HDAC7	760	706	2022
VDR	720	614	1976
TMEM106C	239	251	702
COL2A1	0	1	0
SENP1	185	220	525
PFKM	677	795	2220
ASB8	178	203	569
OR10AD1	0	0	0
H1FNT	0	0	1
ZNF641	148	155	461
ANP32D	0	0	0
C12orf54	45	50	128
OR8S1	0	0	0
LALBA	0	0	0
KANSL2	153	222	527
MIR1291	0	0	0
SNORA2A	0	1	4
SNORA2B	0	0	1
CCNT1	363	427	1044
ADCY6	822	791	2162
MIR4701	0	1	0
CACNB3	414	460	1206
DDX23	1704	1643	4844
RND1	77	45	175
CCDC65	0	0	0
FKBP11	71	79	256
ARF3	3606	3726	10985
WNT10B	4	1	1
WNT1	0	0	0
DDN	3	1	4
PRKAG1	781	806	2216
RHEBL1	2	3	5
DHH	0	0	0
LMBR1L	217	191	598
TUBA1B	5756	5209	16983
TUBA1A	5394	5645	17494
TUBA1C	3366	2992	9483
PRPH	1	0	0
TROAP	36	41	104
C1QL4	0	0	0
DNAJC22	3	1	15
SPATS2	512	489	1433
LOC100335030	0	3	5
KCNH3	2	0	0
MCRS1	365	261	896
FAM186B	2	0	7
PRPF40B	220	201	679
FMNL3	50	34	175
TMBIM6	6333	6973	19802
NCKAP5L	385	223	789
BCDIN3D-AS1	1	0	4
BCDIN3D	54	33	153
FAIM2	0	0	0
AQP2	0	0	0
AQP5	0	0	4
AQP6	0	0	2
RACGAP1	472	494	1497
ASIC1	106	100	312
SMARCD1	532	630	1848
GPD1	4	3	4
COX14	167	152	519
CERS5	342	341	996
LIMA1	5571	6671	18919
MIR1293	0	0	0
FAM186A	0	0	0
LARP4	681	737	2132
DIP2B	1189	1468	4316
ATF1	211	233	691
TMPRSS12	0	0	0
METTL7A	64	83	206
HIGD1C	0	0	0
SLC11A2	557	588	1789
LETMD1	162	182	550
CSRNP2	355	353	1015
TFCP2	600	688	1943
POU6F1	11	7	32
DAZAP2	2494	2411	7165
SMAGP	354	400	1173
BIN2	0	0	0
CELA1	0	0	0
GALNT6	396	355	1155
SLC4A8	4	6	16
SCN8A	16	11	43
FIGNL2	0	0	0
ANKRD33	0	0	0
ACVRL1	0	0	1
ACVR1B	427	372	1137
GRASP	2	1	3
NR4A1	3	6	13
KRT80	329	246	967
LINC00592	5	4	37
KRT7	25054	19696	66315
KRT81	20	7	37
KRT86	2	3	0
KRT83	0	1	0
KRT85	0	0	0
KRT84	0	0	0
KRT82	0	0	0
KRT75	32	28	120
KRT6B	3347	2716	9338
KRT6C	69	55	130
KRT6A	70305	60166	194475
KRT5	95676	91694	275112
KRT71	0	0	0
KRT74	1	2	14
KRT72	0	0	0
KRT73	0	0	0
KRT2	0	0	0
KRT1	0	0	0
KRT77	0	0	0
KRT76	0	0	0
KRT3	1	0	0
KRT4	316	277	1335
KRT79	0	1	0
KRT78	11	6	32
KRT8	4841	3653	12274
KRT18	3944	3519	12730
EIF4B	6232	6837	18779
LOC283335	53	62	160
SPRYD3	948	756	2274
IGFBP6	433	413	1206
SOAT2	2	2	0
CSAD	142	125	344
ZNF740	402	414	1132
ITGB7	25	27	121
RARG	790	578	1976
MFSD5	274	204	675
ESPL1	51	48	145
PFDN5	4747	5002	15777
C12orf10	149	110	316
AAAS	443	369	1222
SP7	0	0	0
SP1	1218	1340	3685
AMHR2	0	0	1
PRR13	1156	1315	4157
PCBP2	2407	2454	7650
MAP3K12	123	119	393
TARBP2	192	125	363
NPFF	17	12	42
ATF7	842	934	2610
LOC100652999	1	2	20
CALCOCO1	1390	1474	4032
HOXC13	1	0	0
HOXC12	0	0	0
HOTAIR	0	0	0
HOXC11	0	0	0
HOXC10	0	0	0
MIR196A2	0	0	0
HOXC9	1	1	0
HOXC8	0	0	0
HOXC4	1	0	0
HOXC5	0	0	2
HOXC6	0	0	0
MIR615	0	0	0
FLJ12825	0	0	0
LOC100240735	0	0	0
LOC100240734	0	0	0
SMUG1	288	267	819
CBX5	775	860	2510
MIR3198-2	0	0	0
HNRNPA1	167	181	493
HNRNPA1P10	0	0	0
NFE2	3	2	0
COPZ1	1223	1365	4130
MIR148B	0	0	0
GPR84	2	2	1
ZNF385A	2103	1827	5659
ITGA5	4493	4245	12777
GTSF1	0	0	0
NCKAP1L	1	0	0
PDE1B	0	0	3
PPP1R1A	0	0	0
GLYCAM1	0	0	0
LACRT	0	0	0
DCD	0	0	0
MUCL1	3	0	8
TESPA1	0	0	0
NEUROD4	0	0	0
OR9K2	0	0	0
OR10A7	0	0	0
OR6C74	0	0	0
OR6C6	0	0	0
OR6C1	0	0	0
OR6C3	0	0	0
OR6C75	0	0	0
OR6C65	0	0	0
OR6C76	0	0	0
OR6C2	0	0	0
OR6C70	0	0	0
OR6C68	0	0	0
OR6C4	0	0	0
OR2AP1	0	0	0
OR10P1	0	0	0
METTL7B	0	0	5
ITGA7	8	3	20
BLOC1S1	34	23	144
BLOC1S1-RDH5	0	0	0
RDH5	0	3	0
CD63	5964	6280	17489
GDF11	239	226	649
SARNP	872	964	2874
ORMDL2	556	584	1741
DNAJC14	528	543	1591
TMEM198B	216	205	613
MMP19	4	16	36
DGKA	2369	2513	7366
PMEL	8	9	17
CDK2	218	243	647
RAB5B	2711	2878	8540
SUOX	247	230	721
IKZF4	49	67	180
RPS26	4284	4341	14586
ERBB3	605	694	2095
PA2G4	3494	3511	10837
RPL41	3453	4003	12699
ZC3H10	44	59	138
ESYT1	1864	1594	5510
MYL6B	324	308	980
MYL6	18878	18257	60223
SMARCC2	1515	1543	4085
RNF41	403	400	1189
NABP2	358	344	1107
SLC39A5	0	0	0
ANKRD52	1766	1698	5367
COQ10A	26	18	59
CS	2082	2290	6620
CNPY2	627	587	1750
PAN2	321	329	875
IL23A	14	11	45
STAT2	1417	1590	4268
APOF	0	0	0
TIMELESS	151	170	447
MIP	0	0	7
SPRYD4	127	118	350
GLS2	18	9	50
RBMS2	2121	2281	7206
BAZ2A	2897	3208	9153
SNORD59B	2	1	9
SNORD59A	0	0	0
PTGES3	1521	1368	3966
NACA	4210	4697	14148
PRIM1	24	15	62
HSD17B6	4	4	7
SDR9C7	0	1	0
RDH16	33	17	34
GPR182	0	0	0
ZBTB39	175	153	475
TAC3	0	2	2
MYO1A	1	3	1
NAB2	229	212	583
STAT6	2823	2755	8005
LRP1	5196	3624	10924
MIR1228	0	0	0
NXPH4	69	54	204
SHMT2	1187	1020	3228
NDUFA4L2	286	213	683
STAC3	25	16	28
R3HDM2	684	711	2044
INHBC	0	0	0
INHBE	0	0	0
GLI1	5	4	21
ARHGAP9	0	0	0
MARS	1265	1273	3691
DDIT3	128	153	443
MBD6	644	606	1754
DCTN2	1484	1576	4799
KIF5A	5	6	27
PIP4K2C	1146	1173	3574
DTX3	96	49	171
ARHGEF25	9	9	14
SLC26A10	0	0	0
B4GALNT1	5	7	23
OS9	2185	2351	6383
AGAP2	2	9	7
TSPAN31	291	317	945
CDK4	276	254	889
MARCH9	178	170	460
CYP27B1	106	89	268
METTL1	115	88	309
TSFM	241	248	732
AVIL	16	13	32
CTDSP2	831	901	2553
MIR26A2	0	0	0
LOC100506844	4	11	12
LRIG3	268	271	724
SLC16A7	32	30	79
FAM19A2	6	2	13
USP15	799	912	2711
MON2	186	202	642
MIRLET7I	0	0	2
PPM1H	40	44	138
AVPR1A	0	0	2
DPY19L2	3	1	1
SRGAP1	449	439	1301
C12orf66	40	48	129
C12orf56	0	2	4
XPOT	1049	1048	3098
TBK1	295	336	1027
RASSF3	220	238	736
MIR548C	0	0	0
MIR548Z	0	0	0
GNS	1005	1086	3041
TBC1D30	18	11	51
WIF1	0	0	0
LEMD3	210	185	610
MSRB3	146	138	473
RPSAP52	23	28	64
HMGA2	722	740	2449
LLPH	782	999	2868
TMBIM4	77	55	195
IRAK3	150	126	289
HELB	9	15	25
GRIP1	150	165	495
CAND1	1013	1132	3019
DYRK2	235	202	624
IFNG	0	0	0
IL26	0	0	0
IL22	0	0	0
MDM1	79	107	265
RAP1B	527	468	1335
SNORA70G	0	0	0
LOC100507250	0	0	0
NUP107	372	419	1147
SLC35E3	78	110	207
LOC100130075	0	0	0
MDM2	1362	1455	4151
CPM	96	92	204
CPSF6	988	821	2329
MIR1279	0	0	0
LYZ	0	0	3
YEATS4	59	50	122
FRS2	195	180	666
MIR3913-1	0	0	0
MIR3913-2	0	0	0
CCT2	1441	1556	4753
LRRC10	0	0	0
BEST3	1	0	0
RAB3IP	288	312	959
CNOT2	781	794	2354
KCNMB4	43	30	102
PTPRB	95	85	270
PTPRR	16	5	23
TSPAN8	0	0	0
LGR5	1	0	0
ZFC3H1	755	748	2057
THAP2	81	72	213
TMEM19	168	154	462
RAB21	408	396	1213
TBC1D15	194	259	771
MRS2P2	0	0	0
TPH2	2	0	0
TRHDE-AS1	0	0	4
TRHDE	1	0	0
LOC100507377	0	0	0
ATXN7L3B	735	708	2097
KCNC2	0	0	0
CAPS2	4	5	28
GLIPR1L1	0	0	0
GLIPR1L2	0	3	2
GLIPR1	656	604	1769
KRR1	845	893	2148
PHLDA1	3050	2874	9568
NAP1L1	2406	2526	6913
BBS10	94	65	229
OSBPL8	474	449	1314
ZDHHC17	262	275	802
CSRP2	276	272	954
E2F7	107	134	425
NAV3	43	38	136
SYT1	11	25	74
MIR1252	0	0	0
MIR5692B	0	0	0
PAWR	351	249	896
PPP1R12A	888	962	2482
OTOGL	1	1	0
PTPRQ	0	0	2
MYF6	0	0	3
MYF5	0	0	0
LIN7A	0	0	0
MIR617	0	0	0
MIR618	0	0	0
ACSS3	4	0	7
MIR4699	0	0	0
PPFIA2	2	1	4
CCDC59	371	375	1232
METTL25	12	20	61
TMTC2	206	212	590
SLC6A15	415	471	1141
TSPAN19	0	0	0
LRRIQ1	15	18	66
ALX1	5	6	25
RASSF9	115	135	371
NTS	0	0	0
MGAT4C	0	0	0
MIR548AL	0	0	0
MKRN9P	0	0	0
C12orf50	0	0	0
C12orf29	224	205	521
CEP290	332	342	869
TMTC3	627	611	1567
KITLG	207	221	509
DUSP6	2244	2297	7372
POC1B	187	174	488
POC1B-GALNT4	0	0	0
GALNT4	3	1	2
ATP2B1	331	329	1022
LINC00615	0	0	2
CCER1	0	0	0
EPYC	0	0	0
KERA	0	0	0
LUM	0	0	9
DCN	5	1	6
BTG1	1235	1131	3257
CLLU1OS	5	3	4
CLLU1	1	0	0
C12orf74	5	2	8
PLEKHG7	15	14	28
EEA1	1456	1670	4233
LOC643339	3	0	1
NUDT4	3	2	3
UBE2N	1195	1194	3867
MRPL42	206	240	684
SOCS2-AS1	1	2	11
SOCS2	46	42	100
CRADD	42	34	141
PLXNC1	0	5	1
MIR5700	0	0	0
TMCC3	336	369	1176
MIR492	0	0	0
KRT19P2	0	0	0
NDUFA12	1336	1563	5120
NR2C1	245	258	661
FGD6	838	807	2453
VEZT	1284	1446	4371
MIR331	0	0	0
MIR3685	0	0	0
METAP2	2151	2656	7382
USP44	1	2	0
PGAM1P5	0	0	1
NTN4	1506	1477	4402
SNRPF	1420	1787	4766
CCDC38	0	0	0
AMDHD1	6	2	2
HAL	2	3	10
LTA4H	2834	2922	8345
ELK3	1263	891	2863
CDK17	289	324	832
NEDD1	371	404	931
RMST	0	0	0
MIR1251	0	0	0
MIR135A2	0	0	0
MIR4303	0	0	0
SLC9A7P1	5	7	12
TMPO-AS1	2	5	11
TMPO	394	471	1335
SLC25A3	2049	2220	6876
SNORA53	0	0	3
IKBIP	263	271	735
APAF1	288	311	734
ANKS1B	2	0	1
FAM71C	0	0	0
UHRF1BP1L	144	113	304
GOLGA2P5	62	50	113
MIR1827	0	0	0
ACTR6	104	68	210
DEPDC4	8	7	24
SCYL2	525	501	1535
SLC17A8	0	0	0
NR1H4	0	0	0
GAS2L3	26	22	59
ANO4	73	85	228
SLC5A8	0	0	0
UTP20	257	322	883
ARL1	995	985	2844
SPIC	0	0	1
MYBPC1	0	0	0
CHPT1	27	35	69
SYCP3	5	6	6
GNPTAB	979	1011	2801
DRAM1	522	571	1372
NUP37	147	148	412
PARPBP	24	40	88
PMCH	0	1	0
IGF1	0	0	0
LINC00485	0	0	0
PAH	0	0	0
ASCL1	0	0	0
C12orf42	0	0	1
STAB2	1	1	3
NT5DC3	244	299	742
HSP90B1	15184	18767	49323
MIR3652	0	0	0
C12orf73	89	93	265
TDG	317	333	833
GLT8D2	24	16	48
HCFC2	190	174	543
NFYB	235	226	716
TXNRD1	1584	1716	4604
EID3	2	3	2
CHST11	686	719	2097
MIR3922	0	0	0
SLC41A2	33	47	94
C12orf45	90	78	228
ALDH1L2	73	80	215
APPL2	163	171	566
C12orf75	147	192	570
NUAK1	282	323	849
CKAP4	2660	2701	7692
TCP11L2	89	82	271
POLR3B	202	262	831
LOC100287944	0	0	0
RFX4	0	0	0
LOC100505978	0	0	0
RIC8B	173	164	487
CRY1	96	93	280
BTBD11	471	493	1522
PWP1	510	478	1361
PRDM4	590	564	1914
ASCL4	0	0	0
LOC728739	0	1	0
WSCD2	0	0	0
CMKLR1	0	0	0
FICD	24	23	40
SART3	626	573	1651
ISCU	361	348	1225
TMEM119	0	0	0
SELPLG	29	21	89
CORO1C	2212	2457	7183
SSH1	1382	1242	3982
DAO	0	0	0
SVOP	0	1	0
USP30-AS1	0	1	0
USP30	130	141	427
ALKBH2	122	98	327
UNG	271	256	826
ACACB	19	17	25
FOXN4	0	1	0
MYO1H	2	0	0
KCTD10	986	945	2801
UBE3B	711	696	2050
MMAB	261	214	687
MVK	366	335	1087
FAM222A	1	1	12
FAM222A-AS1	0	0	0
TRPV4	118	79	215
MIR4497	0	0	0
GLTP	1160	970	3107
TCHP	283	254	851
GIT2	573	601	1832
ANKRD13A	735	822	2290
C12orf76	28	20	72
IFT81	203	242	585
ATP2A2	6199	6774	18896
ANAPC7	532	545	1659
ARPC3	3554	3605	10467
GPN3	82	75	244
FAM216A	59	54	207
VPS29	1149	1255	3698
RAD9B	0	2	0
PPTC7	274	280	633
TCTN1	77	121	232
HVCN1	26	18	65
PPP1CC	562	632	1635
CCDC63	0	1	0
MYL2	1	0	2
CUX2	91	94	256
SH2B3	189	229	660
ATXN2	1058	1043	3087
BRAP	401	412	1426
ACAD10	174	176	448
ALDH2	966	898	2205
MAPKAPK5-AS1	80	93	253
MAPKAPK5	308	309	869
ADAM1A	41	54	119
TMEM116	19	23	84
ERP29	1939	2015	5320
NAA25	519	619	1805
TRAFD1	964	1053	2905
HECTD4	780	733	2231
RPL6	9408	10615	30282
PTPN11	2835	3127	9090
RPH3A	0	0	0
OAS1	195	226	715
OAS3	933	954	3484
OAS2	643	665	2218
DTX1	2	1	1
RASAL1	19	20	47
DDX54	1054	691	2120
IQCD	5	16	20
TPCN1	616	515	1728
PLBD2	1062	981	2638
SDS	0	0	0
SDSL	80	56	193
LHX5	3	0	4
RBM19	382	365	1221
TBX5	0	0	0
TBX5-AS1	0	0	0
TBX3	73	85	207
MED13L	914	1048	2805
MIR620	0	0	0
MIR4472-2	0	0	0
LINC00173	3	5	7
MAP1LC3B2	3	1	6
C12orf49	250	211	636
RNFT2	4	5	13
HRK	0	0	3
FBXW8	175	134	383
TESC	0	0	1
FBXO21	325	332	819
NOS1	184	139	627
KSR2	3	0	7
RFC5	130	140	430
WSB2	1047	1083	3508
VSIG10	117	151	462
PEBP1	2104	2132	6442
TAOK3	704	800	2055
SUDS3	1009	1194	3362
SRRM4	0	0	0
HSPB8	306	336	954
CCDC60	16	16	25
TMEM233	0	0	0
PRKAB1	290	283	835
CIT	125	143	343
MIR1178	0	0	0
RAB35	849	806	2357
MIR4498	0	0	0
RPLP0	27981	25381	76658
PXN-AS1	12	12	50
PXN	5487	4688	14661
SIRT4	10	10	26
PLA2G1B	0	0	0
MSI1	0	0	0
COX6A1	838	626	2015
TRIAP1	421	445	1246
GATC	458	380	1300
SRSF9	1146	1106	3006
DYNLL1	4057	3480	11209
COQ5	228	177	538
RNF10	1432	1573	4481
POP5	144	106	357
CABP1	2	1	10
MLEC	2204	2530	7000
UNC119B	327	320	858
MIR4700	0	0	0
ACADS	32	16	43
SPPL3	315	289	819
HNF1A-AS1	0	0	0
HNF1A	1	0	0
C12orf43	98	108	317
OASL	44	22	69
P2RX7	1	3	4
P2RX4	33	24	79
CAMKK2	784	751	2230
ANAPC5	782	668	2061
RNF34	325	251	930
KDM2B	226	192	664
ORAI1	97	47	188
MORN3	4	4	16
TMEM120B	239	208	732
RHOF	488	326	1164
SETD1B	576	390	1243
HPD	0	0	0
PSMD9	604	521	1471
WDR66	1167	1331	3971
BCL7A	275	264	861
MLXIP	1083	834	2719
LRRC43	11	1	13
IL31	0	0	0
B3GNT4	43	27	106
