,cc01-20covid1,cc01-20covid2,cc01-20mock2,cc01-20mock1,cc03-19covid,cc03-19mock,cc03-20covid1,cc03-20covid2,cc03-20mock1,cc03-20mock2
AC242498.1,0,12,1,4,6,2,2,14,6,14
AC099343.4,47,90,99,58,170,22,48,41,71,99
KRT8P47,1,1,0,0,0,0,2,0,0,2
AL031601.1,0,0,0,0,0,0,0,0,0,0
AL356052.1,0,0,0,0,0,0,0,0,0,0
AC097359.3,0,0,1,0,0,0,0,0,0,0
AC025062.2,6,3,8,1,3,4,4,4,3,7
BNIP3P35,0,0,0,0,0,0,0,0,0,0
AC007262.1,0,1,0,0,0,0,0,0,0,0
AC018462.2,0,0,0,0,0,0,0,0,0,0
AL161729.4,0,2,1,6,0,0,0,0,1,4
Z99497.2,0,0,0,0,0,0,0,0,0,0
BNIP3P36,0,0,0,0,0,0,0,0,0,0
AC233280.2,0,5,9,4,2,0,5,4,6,4
AC004890.3,0,0,0,3,0,0,3,2,1,1
AC008555.6,0,0,0,0,0,0,0,1,0,0
AC104408.1,0,0,0,0,0,0,0,0,0,0
AC010998.2,5,6,21,15,14,0,4,3,11,8
AC107304.1,0,0,0,0,0,0,0,0,0,0
DUXAP8,0,0,0,0,0,10,0,17,0,0
AC104771.1,0,0,0,0,0,0,0,0,0,0
Z82195.1,0,0,0,0,0,0,0,0,0,0
LSM1P2,0,0,0,0,0,0,0,0,0,0
AC098935.2,0,0,0,0,0,0,0,0,0,0
AC136601.2,0,0,0,0,0,0,0,0,0,0
AC092960.3,0,0,0,0,0,0,0,0,0,0
AL953862.2,0,0,0,0,0,0,0,0,0,0
MTND5P10,0,0,0,0,0,0,0,0,0,0
AC140658.7,0,0,0,0,0,0,0,0,0,0
AL929325.1,0,0,0,0,0,0,0,0,0,0
AC023141.13,0,0,0,0,0,0,0,0,0,0
AL049779.3,0,0,0,0,0,0,0,0,0,0
AC233992.2,7,2,0,0,3,0,8,6,2,3
SNX29P2,1,1,17,0,0,13,2,0,1,16
AC098483.3,0,0,0,0,0,0,0,0,0,0
AC123786.2,0,0,0,0,0,0,0,0,0,0
BNIP3P20,0,0,0,0,0,0,0,0,0,0
RPL17P3,0,0,0,0,0,0,0,0,0,0
ATP1B3P1,2,4,2,0,3,9,1,3,3,5
AC017033.1,0,0,0,0,0,0,0,0,0,0
NDUFA8P1,0,0,1,0,0,0,0,0,0,0
AC069236.1,1,0,0,0,0,0,0,0,0,0
AL163642.2,0,0,0,0,0,0,0,0,0,0
AC010501.2,2,1,6,1,1,14,5,2,2,2
AC012640.5,0,0,0,1,0,0,0,0,0,0
AC022001.2,0,0,3,1,0,0,0,0,0,0
AC022146.2,0,0,0,0,0,0,0,0,0,0
MROH7-TTC4,0,9,12,65,38,0,1,0,9,20
AC011396.3,0,0,0,0,0,0,0,0,0,0
AC103858.1,0,1,2,0,0,3,0,0,0,2
AL357054.2,2,4,0,1,0,0,3,1,0,0
AL390208.1,0,0,25,14,6,6,0,0,2,8
AL137798.1,0,0,0,1,1,0,0,0,0,0
Z98200.2,0,2,1,4,8,0,3,1,1,3
LINC02772,2,0,62,79,5,0,0,0,0,5
AC008608.2,1,8,37,32,10,6,4,3,16,13
RNU1-29P,0,0,0,0,0,0,0,0,0,0
AC114490.2,616,593,328,587,623,516,734,725,691,660
AL121992.2,0,0,1,0,0,0,0,0,0,0
AF287957.1,2,5,0,6,1,0,4,0,1,2
AL031848.2,0,0,0,0,0,0,0,0,0,0
AC005828.6,0,2,2,1,0,0,0,0,0,0
AP003392.4,0,4,0,0,2,0,1,0,0,0
AC112187.3,0,1,1,0,0,0,0,0,1,1
AL355802.3,6,9,0,3,27,17,11,0,6,6
AL031118.1,8,6,62,67,29,0,6,6,6,6
AC044810.3,0,3,0,0,4,0,0,0,0,2
AL021368.1,0,0,2,1,1,0,0,0,0,0
AC091544.5,1,0,0,0,1,0,0,0,0,2
RN7SKP299,0,0,0,0,0,0,0,0,0,0
AC010424.2,0,0,0,0,0,0,0,1,0,0
AC139792.1,2,3,27,21,7,2,1,0,10,4
AL109930.1,1,5,9,15,18,0,3,0,12,36
AL445209.1,0,0,0,0,0,0,0,0,0,0
AC080013.3,1,0,4,1,8,0,1,4,5,1
AC009994.1,0,0,0,0,0,0,0,0,0,0
AL118558.3,38,38,79,94,68,35,18,28,65,43
AC026740.1,11,5,10,9,9,5,4,1,6,5
AL031055.1,12,7,3,0,8,17,8,13,6,6
AC104794.5,4,0,6,0,0,0,0,0,0,15
AC008875.1,1,0,8,9,3,1,0,0,5,5
AL080317.1,2,6,38,19,2,0,3,3,23,9
AC008667.4,0,0,0,0,0,0,0,0,0,0
AL589666.1,100,163,8,13,44,66,119,129,47,50
AC011337.1,0,0,1,5,3,6,0,1,0,0
AC008494.3,20,5,9,1,10,14,5,18,16,12
SNORA51,0,0,2,1,1,3,4,3,0,2
AL121906.1,0,0,0,0,0,0,0,0,0,0
AL590822.2,19,24,27,22,32,14,4,4,6,15
AL603832.3,3,5,32,54,53,0,14,14,24,15
Z97200.1,3,0,38,13,3,0,0,1,4,0
RN7SKP290,0,0,0,0,0,0,0,0,0,0
AC008897.3,0,2,1,3,3,2,0,0,2,1
AC022400.5,20,63,47,68,90,18,13,14,68,33
AC107219.1,0,0,0,0,0,1,0,1,0,0
RN7SKP4,0,1,1,1,0,0,0,0,0,0
RNU6-94P,0,0,3,0,0,0,0,0,0,0
AL109910.2,0,0,0,0,0,0,0,0,0,0
AL662844.3,0,0,0,0,2,0,0,0,0,0
SMIM32,0,0,1,0,3,1,0,0,2,3
AC019080.3,0,1,2,5,1,0,0,0,0,1
PLS3-AS1,14,9,12,21,9,6,8,0,26,13
AC008937.3,0,2,2,0,0,0,0,0,5,0
AC012213.4,0,0,4,2,3,0,0,0,2,0
AL445222.2,1,0,7,11,6,1,1,5,4,11
RNU7-10P,0,0,0,0,0,0,0,0,0,0
AC012557.1,3,6,5,4,5,1,0,0,3,5
AC073389.2,3,3,4,8,4,0,0,0,6,1
AC012603.1,5,8,1,5,6,5,4,5,0,5
LINC02343,0,0,1,3,30,1,0,0,0,6
AC087501.4,38,32,15,19,56,28,16,24,20,34
SNORD11B,0,0,0,0,1,0,0,0,0,0
AL162258.1,41,66,40,39,71,107,10,44,43,32
AC073195.2,0,5,31,8,10,3,0,2,9,11
LINC01215,2,0,0,0,5,1,1,0,0,0
AL096865.1,4,0,18,14,68,4,3,2,3,23
Z84492.1,3,1,22,9,37,7,8,11,21,22
AL589740.1,0,0,5,14,1,0,0,0,0,5
AC104118.1,4,11,5,9,18,5,8,8,0,2
AC114810.1,11,4,0,7,3,9,3,9,6,4
AC026979.2,9,18,36,32,15,6,5,6,18,15
AC024060.2,18,29,30,31,28,9,10,11,16,27
AC005740.4,0,0,1,0,2,0,0,0,0,0
AC025754.2,4,3,3,3,2,4,2,4,4,2
AGAP11,0,36,159,169,672,118,79,86,86,108
AP001330.4,0,1,0,2,1,0,3,0,2,0
MIR98,0,0,0,1,1,0,0,0,0,0
AL136162.1,7,7,18,6,11,6,3,3,7,9
AC016747.2,0,0,2,3,1,0,0,0,0,0
OR10AE1P,0,0,0,0,0,0,0,0,0,0
AC026790.2,0,0,0,0,0,0,0,0,0,0
AC064834.1,0,0,0,0,0,0,0,0,0,0
AC007744.1,36,46,0,25,0,0,0,4,0,0
AL109811.2,34,41,171,163,142,52,18,18,78,86
AL357518.1,0,0,0,0,0,0,0,0,0,0
MIR4791,0,0,0,0,0,0,0,0,0,0
MIR4466,0,0,0,0,0,0,0,0,0,0
AC025627.4,0,0,0,0,0,0,0,0,0,0
AL161716.1,0,0,0,0,0,0,0,0,1,0
AC091826.3,0,0,2,4,0,0,0,0,0,3
SNORA35B,0,0,0,0,0,0,0,0,0,0
AL357054.3,1,2,0,0,0,0,5,0,0,0
AL035530.2,8,11,86,89,49,33,17,17,77,33
AL139286.2,0,0,0,0,0,0,0,0,0,0
AC012467.1,0,0,0,0,0,0,0,0,0,0
AL357568.2,0,0,7,6,3,0,0,0,0,0
AC034236.2,34,17,106,101,76,21,29,12,42,50
AC005828.7,0,1,3,3,0,2,1,0,1,0
AC134026.1,0,0,0,0,0,0,0,0,0,0
RNU6-86P,0,0,0,0,0,0,0,0,0,0
RNA5SP108,0,0,0,0,1,0,0,0,0,0
AC008972.1,19,17,10,4,18,1,9,8,1,0
AC016877.3,0,0,0,1,0,1,0,0,0,0
AL353135.1,0,0,0,0,0,0,0,0,0,0
RNU6-85P,0,0,0,0,0,0,0,0,0,0
AL603756.1,31,47,39,22,120,46,18,30,34,38
OR2AS2P,0,0,0,0,0,0,0,0,0,0
AC012073.1,9,3,0,2,2,11,5,13,4,1
AC104187.1,1,0,10,5,6,6,1,1,1,0
AC103724.4,0,1,0,1,1,2,0,0,4,2
AC098614.3,41,34,45,46,42,46,73,24,22,19
AL355612.1,5,0,5,8,3,1,0,0,6,5
AC017076.1,0,0,0,0,1,0,0,0,0,0
AC093423.3,0,1,0,0,0,0,0,1,0,0
LINC01954,0,0,2,1,0,0,0,0,0,0
AC007100.1,0,0,0,0,0,0,0,0,0,0
AC021860.1,0,0,0,0,0,0,0,0,0,0
AC100803.4,0,0,3,4,2,0,0,0,0,0
AC026786.2,0,1,0,0,2,1,0,0,0,0
AC090948.1,7,4,3,6,11,5,0,0,0,0
AC021321.1,9,8,20,34,19,8,9,15,21,34
AL583856.2,0,0,10,7,0,0,0,0,0,0
ADAM6,0,0,0,0,0,0,0,0,0,0
U47924.1,0,0,6,9,4,0,0,2,2,0
AC120053.1,5,4,31,34,2,0,8,1,3,6
AC141002.1,0,0,0,7,5,1,0,0,2,1
RDM1P4,0,1,2,1,2,0,0,0,0,0
AC012467.2,35,26,35,95,28,30,23,30,29,13
AC226119.2,0,0,0,6,1,0,0,0,1,0
AL359643.2,0,2,9,20,0,3,3,0,1,6
AC012640.6,7,9,0,0,12,11,2,2,4,4
AL158211.2,2,0,0,0,0,0,0,0,0,0
SNORD58B,0,2,0,0,0,0,0,1,0,0
AC023302.1,1,0,11,1,17,1,1,5,13,10
AL008726.1,6,12,8,2,5,0,0,2,9,0
BX248123.1,0,0,0,0,0,0,0,0,0,0
RN7SL827P,1,0,4,3,3,0,2,0,1,0
AL139424.1,1,0,1,0,3,0,0,0,1,0
AC013400.1,3,6,4,3,1,2,1,0,5,0
AL354872.2,2,2,5,2,0,2,0,2,2,0
AC126118.1,0,0,6,9,8,1,1,0,0,6
AC019080.4,0,4,3,10,0,1,0,1,4,5
AC034229.3,0,0,0,0,2,0,0,0,0,0
AC010904.2,0,0,3,1,0,0,0,0,0,0
FO704657.1,6,0,0,3,2,11,0,0,0,1
AC037487.3,0,0,0,0,0,0,0,0,0,0
AL139274.2,8,8,74,46,15,4,5,3,19,26
AL121944.2,14,16,18,39,15,9,12,19,31,22
AC100814.2,8,7,19,14,8,6,9,8,10,11
AP001043.2,0,0,0,0,0,0,0,0,0,0
RNU1-30P,0,0,0,0,0,0,0,0,0,0
AC008592.5,2,0,3,1,0,0,1,0,2,2
AC010240.4,0,0,1,0,2,0,0,0,1,2
AC064807.4,0,1,0,1,2,3,2,2,1,0
AC007318.2,0,0,0,0,0,0,0,0,0,0
AC073218.1,0,0,0,0,0,0,0,0,0,0
RNU6-87P,0,0,0,0,0,0,0,0,0,0
AL162258.2,20,46,23,27,55,14,15,9,21,35
ANKRD34A,60,40,50,41,75,69,11,12,21,34
AL136984.1,0,0,0,2,9,2,0,0,0,0
SNORD14A,2,3,4,1,7,1,0,1,1,1
MIR139,0,0,0,0,0,0,0,0,0,0
AP002907.1,0,0,8,7,3,1,0,0,2,2
AC010245.2,0,2,19,16,3,5,0,2,4,3
AC016405.2,3,2,7,4,2,2,2,2,4,3
AL445647.1,0,0,0,0,0,0,0,0,0,0
GTF2H5,1019,1139,732,825,663,1172,930,910,921,812
AC091965.4,0,0,0,2,1,0,0,0,1,0
AL499627.2,0,0,0,0,0,0,0,0,0,0
AL109742.1,0,0,0,0,0,0,0,0,0,0
AC007390.2,16,23,53,57,40,15,17,6,9,16
RNU6-6P,1,1,1,1,1,1,0,1,0,1
AC013472.2,0,2,5,0,3,1,0,0,1,4
AC016575.1,0,0,1,0,0,1,0,0,0,0
AL365181.2,0,0,11,6,1,5,0,0,9,0
AC005618.1,8,21,60,34,37,32,42,27,22,19
AC122710.2,0,0,0,0,0,0,0,0,0,0
AC004492.1,0,0,0,4,0,1,0,0,0,5
RN7SL828P,0,0,0,0,0,0,0,0,0,0
AC090186.1,1,0,0,3,1,0,0,0,1,0
AC124045.1,18,13,3,13,9,6,18,14,10,6
AL139423.1,38,68,27,45,49,9,34,18,14,10
AC004233.2,76,117,82,68,80,27,150,157,71,72
MIR502,0,0,0,0,0,0,0,0,0,0
AC008972.2,49,53,35,28,60,17,25,21,3,4
AL137127.1,1,4,12,8,16,7,7,5,2,5
AC091979.2,0,0,0,0,0,0,0,0,0,0
AC025181.2,61,97,112,70,140,38,67,70,71,92
AC080013.4,5,6,9,8,12,3,10,9,9,3
AL512413.1,0,0,0,1,4,1,0,1,0,1
AC087623.2,37,39,37,34,86,58,38,28,28,60
AC091614.1,0,0,0,0,0,0,0,0,0,0
RN7SL715P,0,0,1,0,0,0,0,0,0,0
AL024498.1,4,9,12,1,5,3,4,1,18,13
AL513218.1,0,3,2,9,8,1,0,0,2,1
AC026741.1,0,0,3,9,1,0,0,0,2,0
Z84492.2,1,2,0,4,0,0,0,0,0,0
AL691432.2,193,150,476,569,237,153,107,144,333,344
AC244517.1,0,0,0,3,1,0,0,0,0,1
AC008906.2,0,0,5,9,11,7,0,0,0,4
AC011374.2,1,1,4,8,3,0,3,1,6,1
AL157884.4,0,0,0,0,0,0,0,0,0,0
AL136131.3,59,89,254,397,262,51,43,30,91,52
AC233992.3,6,6,5,16,17,9,16,10,10,18
AC006058.3,4,3,3,0,4,17,9,3,1,3
AC008966.2,1,0,5,0,2,0,0,0,0,0
AP006545.2,0,1,0,2,1,0,1,0,0,2
AL359715.3,15,6,15,1,19,8,7,9,16,8
AC091946.2,0,0,0,0,0,0,0,0,0,0
AC103810.6,0,0,0,0,0,0,0,0,0,0
AL451064.1,1,6,15,7,1,0,6,1,2,5
LINC01607,2,3,17,23,2,10,5,3,19,12
AC113349.2,0,0,0,0,0,0,0,0,0,0
AC022400.6,10,16,40,63,33,17,13,11,21,41
AL390719.2,26,29,77,122,251,23,46,36,85,143
AL359643.3,41,52,28,37,68,98,42,44,76,79
FGF14-AS2,33,34,54,53,17,12,10,3,33,56
AC025171.4,2,3,16,20,5,2,2,2,23,5
NFYC-AS1,40,46,90,94,154,28,13,27,53,42
ARF4-AS1,20,25,7,13,20,17,6,10,23,5
AC013403.2,5,5,3,7,7,0,2,1,6,2
AC112211.1,0,0,5,0,0,0,0,0,0,0
NBPF25P,16,34,38,11,22,28,22,31,31,40
AL365330.1,20,6,46,39,58,9,5,9,22,16
AC244517.2,0,0,0,0,0,1,0,0,0,0
AC055822.1,4,2,6,3,2,5,1,0,3,3
AC008280.3,6,1,7,11,1,6,0,3,5,5
AC107373.2,0,0,0,0,0,0,1,0,0,0
AL139022.2,2,0,3,3,3,0,0,0,1,0
AC087623.3,4,14,0,0,11,10,33,17,3,0
RNU4-5P,0,0,0,0,0,0,0,0,0,0
AL589739.1,0,0,1,6,0,0,0,0,0,0
AL024498.2,2,0,0,0,0,0,0,0,0,0
AF106564.1,0,0,0,0,0,3,1,0,2,0
AC005972.2,0,0,2,2,0,0,0,0,0,0
AC093416.1,0,0,0,0,0,0,0,0,0,0
AL606537.1,0,0,0,0,0,0,0,0,0,0
CASC15,14,28,77,50,24,7,73,44,20,21
AL355385.1,1,1,2,2,2,0,0,0,2,1
AC138696.2,5,4,9,4,6,1,6,2,2,11
U47924.2,61,68,73,78,44,13,25,26,65,84
AL050343.3,0,0,0,1,1,0,0,0,0,0
AC011306.1,0,0,1,2,5,0,0,0,0,0
AC012557.2,1,5,5,0,5,0,1,0,1,0
AC135507.1,2,0,4,24,0,2,5,2,1,10
AC005041.3,2,6,7,5,3,1,1,1,0,2
AP003392.5,6,2,7,9,3,0,0,0,1,1
AL024508.1,74,119,9,8,54,51,53,43,45,24
AC100812.1,0,3,4,0,5,3,4,2,2,9
AL356512.1,7,8,40,24,30,10,2,3,17,8
H2AC19,457,816,555,261,848,1175,1403,1077,587,457
RN7SL803P,0,0,0,3,0,0,0,0,0,0
AC097358.2,1,0,6,4,10,1,0,4,2,2
AC004775.1,0,0,0,0,0,0,0,0,1,0
AL451050.2,1,4,28,18,24,3,0,3,6,3
AL023583.1,0,0,2,2,2,0,0,0,2,0
AC114760.2,2,14,27,28,10,7,5,3,7,3
AC002395.1,0,0,0,0,0,0,0,0,0,0
AL645940.1,0,0,4,2,4,4,0,0,6,6
AC108865.2,0,0,0,0,0,0,0,0,0,0
AC005072.1,20,35,94,58,46,17,12,1,50,18
AC103810.7,3,6,11,0,8,0,0,3,0,0
AL645933.3,79,71,22,27,33,33,21,15,11,23
AL136304.1,4,1,6,10,5,0,5,3,3,4
AL136985.2,1,0,0,0,1,0,0,0,0,0
MIR3666,0,0,0,0,0,0,0,0,0,0
RN7SL726P,0,0,0,0,0,0,0,0,0,0
AC008945.1,11,15,16,31,11,11,0,0,4,14
AL590438.1,4,6,10,1,2,0,0,0,0,0
AL645939.5,0,0,2,2,0,0,0,2,2,0
AC073065.2,0,0,0,0,0,0,0,0,0,0
AC011373.1,1,0,1,0,0,0,0,0,0,0
AC004908.1,8,10,42,35,40,15,5,2,31,16
AL356277.3,1,3,8,1,0,0,0,0,0,1
AC080013.5,0,6,5,11,2,5,0,5,2,6
AL138831.2,2,0,3,0,2,0,0,1,2,0
AP003117.2,0,0,0,0,0,1,0,0,0,0
RNA5SP386,0,0,0,0,0,0,0,0,0,0
AC022893.3,0,0,2,0,2,0,0,0,0,0
AC113361.1,0,0,0,0,0,0,0,0,0,0
AC044849.1,5,5,12,10,9,3,0,0,2,11
LINC01749,0,0,0,0,0,0,0,0,0,0
RNU6-89P,0,0,0,0,0,0,0,0,0,0
AC034198.2,0,1,3,0,0,1,1,3,3,1
AC009686.2,7,14,11,10,9,4,3,12,10,4
AC034236.3,0,0,1,0,0,0,0,0,0,1
AC021242.3,19,0,3,1,3,10,1,17,0,0
AL138724.2,49,45,18,25,23,51,39,52,5,54
IER3-AS1,0,15,0,4,0,8,0,29,5,3
LINC00551,1,4,3,2,1,0,0,1,4,7
AC092687.3,4,8,6,10,27,0,0,1,1,6
AL031963.3,29,16,20,20,45,20,15,9,13,18
AL512329.2,6,3,5,2,6,3,2,1,13,5
TPTE2P2,0,0,0,1,0,0,0,0,0,0
LINC02084,1,0,0,1,0,2,0,0,0,1
AL451165.2,47,64,75,78,47,23,26,24,52,55
AC083964.1,9,12,6,11,10,11,19,5,10,7
SNORD96A,0,0,0,2,0,0,0,0,0,2
AC018709.1,0,0,0,0,0,0,0,3,1,2
AC091544.6,0,0,0,0,0,0,0,0,0,0
AC096721.1,0,0,0,0,0,0,0,0,0,0
AC096887.1,0,20,14,18,4,9,2,0,12,2
AC104113.1,10,7,12,8,1,2,2,3,2,9
IFNL4P1,0,0,0,0,0,0,0,0,0,0
AL133255.1,0,0,3,0,0,0,0,0,0,0
AL021368.2,21,42,158,196,128,29,4,8,152,151
AL022345.1,2,0,0,0,0,0,0,0,0,1
AL445309.1,0,0,6,3,0,0,0,0,0,4
AP003355.2,0,0,0,0,0,0,0,0,0,0
AC026801.2,35,52,78,83,26,20,19,12,108,89
AC012629.2,1,0,0,2,0,0,1,0,1,1
NUDT3,706,1038,1237,1224,1183,1261,1018,962,1681,1537
AC007128.2,0,0,0,0,0,0,0,0,0,0
AL353581.1,0,0,0,0,0,0,0,0,0,0
AC002044.1,0,1,0,2,0,0,0,1,0,0
KMT2B,111,122,244,315,270,133,105,106,172,176
AC011816.2,0,0,3,7,0,0,0,0,0,0
AC093297.2,23,44,114,84,11,24,36,12,43,35
RNU6-90P,0,0,0,0,1,0,0,0,0,0
AC067838.1,5,3,12,16,2,5,1,3,3,11
AL137003.1,35,44,39,28,27,5,23,18,13,20
AC116609.3,1,0,0,0,1,2,0,0,0,0
AC107952.2,6,1,23,23,4,6,0,4,6,4
SNORD114-21,0,0,0,0,0,0,0,0,0,0
AL031775.1,30,15,52,30,36,15,18,20,22,27
AC103810.8,2,0,0,0,0,0,0,0,5,1
AC116351.2,5,3,1,0,1,5,0,0,4,2
RNA5SP506,0,0,0,0,0,0,0,1,0,0
AC092354.1,0,2,0,1,2,0,0,0,2,0
AL080317.2,5,3,35,18,4,1,1,9,5,4
RNU4-89P,0,0,0,0,0,1,0,0,1,1
AC116036.2,3,0,2,5,0,2,3,3,3,2
AC005014.2,1,5,1,6,0,2,0,6,4,3
AL160408.5,0,1,0,0,0,0,0,0,0,2
AL158211.3,0,0,1,0,2,0,0,0,0,1
AC074032.1,14,18,52,43,17,16,17,11,22,58
AC008035.1,20,11,24,38,12,16,17,18,28,41
AC092354.2,0,5,0,2,3,3,1,4,1,0
AL591167.1,0,0,3,0,2,0,0,0,0,0
AC009102.2,0,0,0,0,0,0,0,0,0,0
Z97832.2,18,4,23,39,4,0,14,3,9,56
AC026979.3,1,1,1,1,1,5,0,0,3,5
AL008729.2,44,17,68,73,24,13,5,2,2,13
MIR3976,0,0,0,0,0,0,0,0,0,0
LINC02664,0,0,0,1,0,0,0,0,2,1
AC025171.5,1,5,15,39,8,2,1,1,3,4
AC006270.3,0,0,0,1,0,0,0,0,0,0
AC016405.3,6,8,5,7,3,7,3,7,11,7
AC015802.5,1,0,4,10,11,0,0,1,1,6
AL022345.2,0,0,0,0,0,0,0,0,0,0
POM121C,855,825,1032,1442,987,787,532,628,846,835
RNU6-92P,0,0,0,0,0,0,0,0,0,0
IFNL4,14,6,0,0,13,0,3,1,0,0
AC005392.3,0,0,0,0,0,0,0,0,0,1
AL138916.2,0,0,0,0,0,0,0,0,0,0
CD24,15490,16267,9082,6178,21529,25950,73242,70415,25291,22003
AC103810.9,0,0,0,0,0,0,0,0,0,0
AL031775.2,2,1,9,7,7,3,0,2,0,2
AL365181.3,2,7,2,16,32,11,0,15,19,8
AC108102.1,0,0,0,0,0,0,0,0,0,0
AL022394.1,2,2,0,0,0,0,1,1,0,0
AC022384.1,173,203,101,98,125,184,95,229,117,85
AC116312.1,1,0,7,4,3,0,3,1,7,5
RN7SL778P,0,0,0,0,0,0,0,0,0,0
FAM47E-STBD1,1465,1711,1756,3305,1069,715,921,1031,830,855
AC025175.1,0,0,4,0,0,0,1,0,0,0
AC034229.4,0,0,0,6,0,0,1,0,1,0
AC090607.4,0,0,0,0,0,0,0,0,0,0
LINC01145,229,285,333,372,201,308,145,222,387,305
AL513477.2,2,2,11,12,2,6,0,0,7,9
AC009902.3,0,0,11,1,5,11,1,0,6,1
BX284668.6,0,5,7,5,3,1,0,0,1,0
AL450270.1,0,1,3,3,1,0,0,0,4,0
LINC02637,5,7,7,5,2,3,3,0,0,0
AC104117.5,0,0,1,1,0,0,0,0,1,0
AL031432.3,7,2,2,2,7,2,0,1,2,3
AC137630.3,19,28,10,17,29,27,24,11,15,17
RNA5SP357,0,0,0,0,0,0,0,0,0,0
CUX2P1,0,0,0,0,0,0,0,0,0,0
AL645608.6,0,0,0,2,3,3,0,0,0,4
RNU6-91P,0,0,2,0,0,0,0,0,0,0
AC080013.6,2,0,5,0,0,0,3,0,1,0
AL353588.1,0,5,11,2,14,3,0,4,0,0
OR13Z2P,0,0,0,0,0,0,0,0,0,0
AL118558.4,10,3,7,8,6,8,0,1,5,5
RNU6-84P,0,0,0,0,0,0,0,0,0,0
AL158850.1,6,3,0,4,0,2,0,0,6,4
AL135925.1,136,164,266,222,147,89,126,96,101,107
AL139246.5,39,38,47,70,81,110,72,59,80,90
AL391244.2,23,29,40,49,38,16,11,16,32,42
AC087045.2,1,2,0,1,0,0,0,0,3,0
AC113194.1,3,0,0,0,0,0,2,0,0,0
MIR432,0,0,0,0,1,0,0,0,0,0
AC139795.3,6,6,14,7,8,4,5,12,3,2
SNORD115-40,0,0,0,0,0,0,0,0,0,0
AP005328.1,0,0,0,0,1,0,0,0,0,0
U91328.1,75,94,96,89,46,85,25,24,105,83
AL357054.4,21,14,10,16,17,5,0,3,1,1
AL031768.1,3,1,1,8,2,1,4,0,3,2
AL021807.1,8,2,3,2,14,8,1,5,6,1
RN7SL760P,0,0,0,0,0,0,0,0,0,0
AL512283.1,0,0,0,0,0,0,0,0,0,0
AC006273.1,7,4,6,9,1,1,2,0,4,5
SNORD113-5,0,0,0,0,0,0,0,0,0,0
AL024507.3,29,27,17,7,30,27,26,24,20,23
AC144521.1,0,0,5,1,3,0,0,0,1,0
AL020996.3,2,27,66,57,35,51,0,17,28,51
AC010857.1,0,0,0,0,0,0,0,0,0,0
OR13Z3P,0,0,0,0,0,0,0,0,0,0
AC254633.1,5,5,17,23,30,2,2,8,12,4
AC022001.3,0,1,2,10,3,0,1,0,2,2
AL392183.1,0,1,0,0,0,2,0,0,0,0
AL132656.3,3,3,10,14,8,0,0,0,16,6
AL109659.2,0,0,19,1,0,0,0,0,0,0
OR1X1P,0,0,0,0,0,0,0,0,0,0
AC090948.2,0,0,0,0,0,0,0,0,3,0
AL662844.4,17,42,56,93,44,15,8,11,57,36
AC104958.2,42,38,69,69,42,29,9,1,19,13
AC104964.4,4,5,6,0,8,1,7,1,0,0
AL357078.2,0,1,2,5,3,0,0,0,0,0
RNU6-88P,0,0,1,0,0,0,0,0,0,0
AL136982.6,10,0,25,15,40,7,0,10,3,12
AC087752.4,4,1,4,7,6,1,1,3,0,5
AL121992.3,0,0,0,0,0,2,0,1,0,0
AL645608.7,9,14,25,26,45,7,15,29,22,18
CFAP206,89,124,170,288,0,14,35,19,1168,1103
AL355578.1,0,0,3,4,0,0,0,0,0,4
AL158211.4,0,0,0,0,0,0,0,0,0,0
AC036214.2,17,13,21,16,14,32,11,16,13,7
AC079610.2,0,0,0,0,0,0,0,0,0,0
LINC01023,14,21,68,51,31,25,13,6,20,35
AC099522.2,8,16,21,39,5,5,9,3,27,21
AC090948.3,1,2,1,0,0,0,0,0,0,0
SNORA28,1,1,3,0,6,1,2,0,1,0
RN7SL840P,0,0,3,0,0,0,0,0,0,0
AC005014.3,0,0,0,0,0,0,0,0,0,0
AL662797.2,169,208,30,20,61,28,87,40,15,18
AL021368.3,1,0,7,2,0,1,1,2,2,5
AL137246.1,0,0,1,0,1,0,0,0,0,0
MIR4787,0,2,1,0,0,0,0,0,0,0
AC023813.4,0,0,0,0,0,0,0,0,0,0
LINC02538,0,0,0,0,0,0,0,0,0,1
AC017048.3,0,0,0,0,0,0,0,0,0,0
AC012087.2,0,0,0,0,1,0,0,1,0,0
AC009974.1,0,1,1,1,1,0,0,0,0,0
GTF2IP13,25,28,62,108,47,18,21,22,46,52
U91328.2,26,53,24,17,20,39,4,40,18,30
OR51F3P,0,0,0,0,0,0,0,0,0,0
AL512343.2,0,3,16,20,18,1,0,0,7,5
AC016745.2,11,30,50,60,20,0,4,5,15,19
AC012511.1,16,14,21,27,12,4,2,2,4,1
AF250324.1,0,0,2,1,0,1,0,0,1,1
AC109347.2,0,1,6,2,1,1,1,1,2,3
AC005162.2,1,1,16,6,0,0,0,0,1,2
OR5BL1P,0,0,0,0,0,0,0,0,0,0
AL138762.2,7,9,4,53,35,9,7,7,25,33
MUSTN1,0,1,0,0,0,0,0,0,4,0
AL596325.2,5,12,37,30,47,7,9,11,31,17
LINC02098,1,0,0,0,0,0,0,0,0,0
AC027271.1,0,0,3,1,0,0,0,0,0,1
AP000347.1,100,149,283,196,231,24,31,48,119,69
AL031587.3,2,3,7,11,8,4,6,16,6,12
AL592494.2,2,12,0,1,1,0,0,0,5,3
