X	Control_49604	Control_49605	Control_49606	Control_49607	Control_49608
MIR6787	3.9	78.8	134.4	161	7.1
CNPY2	220.9	142.2	203.6	100.6	170.7
U2AF1	327.3	247.2	446.8	395.4	210
CXCL8	341.8	122.6	1347.2	707.5	142.5
DENND4B	68	15.6	39.8	84.6	21.1
MIR6883	56.9	14.2	245.6	134.4	42.8
FAH	102.3	110.1	100.5	41.5	366.7
SP100	243.7	112.1	44.1	121.6	141
SP100	91.2	50.9	101.1	70.5	98.6
DNAJB12	14.6	49.8	15.8	14.2	18.7
DNAJB12	100	22.8	74.8	31.4	28.6
DNAJB12	92.8	96.3	115	130	151.5
POP4	238.6	256.1	179.5	233.3	185.9
OAS1	42.9	73.9	34.8	46.9	53.4
CDC20	43.8	60.3	14.6	91.8	17.3
TRAF4	18.8	47.4	14.2	19.3	27.3
ATP6V1C1	100.6	87.3	21.7	66.5	110.3
ATP6V1C1	28.7	84.5	155	116.5	85.8
ATP6V1C1	98.7	105.6	145.2	151.1	157
PBX2	44.7	9.9	18	42.8	15.4
PBX2	111.1	160.3	102.5	159.1	80.9
CD93	16.2	81.5	144.8	182.6	150
CD93	574.2	666.6	953.9	1003.6	538.5
CYTH1	17	71.5	43.3	143.1	140.4
CYTH1	104.5	98.8	124	143.7	63.7
NOL7	27.5	6.3	6.4	9.4	33.9
NOL7	323	225.8	236.4	177	184.5
PPP2R1B	148.1	241.3	145.5	168.7	380.8
PPP2R1B	89	62	101.3	79.9	71.9
PPP2R1B	61.8	27.9	25.8	55.7	19.7
PPP2R1B	48.2	26.3	57.4	52.3	96.5
DDIT4	144.1	162.5	181.8	54.4	77
ANPEP	29.5	15.2	84.9	146.8	5
MAP7	6.2	13.5	24.4	80.9	65.4
MAP7	40.5	4.4	3.9	6.5	6
NIT1	184.4	118.4	120.3	72.5	134.5
CDC23	141.3	103.9	92.7	104.7	73.4
UNC13B	142.9	138.8	142.4	116.8	112.4
EPHB4	81.9	158.6	214.8	166.8	84
SIRPA	61.6	67.1	73	34.3	112.6
SIRPA	114.1	111.2	198.6	212.8	174
SIRPA	159.4	124.7	218.5	178.2	141
SDC3	18.9	97.2	64.9	30.8	10.4
SRSF3	140.5	372.6	528.5	568.6	356
E2F1	90.4	109.1	122.7	131.5	134.9
NUP88	116.2	182.1	71.9	87.8	118.3
CTSS	210.7	124.9	392.4	217.2	76.9
CTSS	79.6	221.4	671.7	321.2	278.5
LSM5	26.3	14.6	6.9	24.2	59.8
LSM5	47.3	39	8.7	70.4	13.9
NBN	28.3	76.7	49.4	6	51.6
NBN	71.7	31.5	64.9	26.5	119.1
NBN	341	153.3	164.1	129.5	127.1
WFS1	212.5	202.2	200.2	280.3	296.2
EPM2AIP1	107.1	171.2	149.2	130.3	207.3
ADGRE5	75.1	107	84.4	77.6	38.4
MSH6	207.9	182.3	154.6	111.8	217.1
ADM	337.5	306.6	386.2	246.4	690.8
ARHGEF11	48.4	212.2	116	232	157.4
ARHGEF11	30.4	9.5	41.3	42.7	49.8
FAM20B	79.1	105	121.5	89.9	107.5
FAM20B	118.3	78.1	111.8	48	118.3
S100A8	932.3	312.3	3170.6	2627.9	450.4
HSPE1-MOB4	210.9	107.2	130.6	158.6	66.8
MOB4	324.1	254.6	192.9	322.3	300.5
ANK2	325.9	419.8	439.4	355.2	242.8
ANK2	58.2	88.5	109.8	95.6	164.5
GCLC	172.2	133.7	141.2	199.1	243.5
GCLC	107.7	132.2	147.5	168.3	260.7
PLAGL2	76.5	141.6	72.2	95.6	80.2
PLAGL2	124.3	106.3	56.4	77.5	100.9
NBAS	30.2	58.3	80.3	73.8	192.3
PIN1	49.3	3.8	8.5	5.9	8.2
PHF1	11.7	21.8	21.7	11.9	18.7
DDTL	51.2	16	12.7	13.7	14.8
SUCLA2	258.6	131.2	97.4	120.8	172.1
BIN1	107.3	138.9	135.8	208.9	172.9
YES1	157.9	124	154.8	144.7	182.7
YES1	523.2	116.9	153.8	147.3	22.3
HK2	249.5	153.2	127.3	245.3	371.9
SOX9	5.9	71.3	42.7	110.7	95.7
SOX9	52.8	54.2	116.6	150	120.8
RRP7A	6.1	8.6	7.2	8.1	5.9
RRP7BP	52.5	199.2	149.9	100.1	150.9
ZMPSTE24	333.9	419.2	446.6	357	308.5
WNK1	38.9	87	17.1	24.2	22.8
NDUFV2	76.2	216.8	163	200.2	256.4
ETFB	115.4	97.3	24.7	22.9	119
NAGA	123	234.9	197.2	196.3	164
NAGA	62	31.9	9.2	29.6	66.5
FPGS	41.9	34.2	42.4	105.6	18.6
BTBD3	235.9	55.5	83.1	152.8	95.5
GYPC	135.2	240.6	172	116.4	262.7
IL1R1	844.3	749.9	685.3	372.4	512.9
FHL2	226.3	189.1	197	112.4	90.6
CRYZ	263.8	181.8	114.5	102.5	105.9
STK38	228.1	340.9	315.4	264.8	308.4
ADAM12	31.4	81.3	96.1	24.7	40
C1QB	113.4	234.1	703.9	88.6	131.3
UBE2C	88.8	142.4	158.8	165	168.1
ARFGEF1	35.8	43	100.4	107	123.1
ARFGEF1	183.6	175.2	147.7	142.2	102.4
HCLS1	171.9	275.6	290.6	301.6	164.1
PTPN9	68.5	118	106.8	242.1	66.7
MUT	148.2	116.6	96.7	125.5	80.4
MUT	132.5	55.8	8.5	6.9	82
ARMC2-AS1	272.9	235.9	236	184.6	209.7
KIF13B	57.6	61.2	95.2	113.1	49.9
RFX5	191.2	8.6	92.1	9.8	18.9
RFX5	59.7	102.2	77.2	128	100
CAPN6	36.8	14.8	9.3	11.1	56
CAPN6	9.8	32.6	52.9	35.9	13.3
GSTA4	158.2	234.4	211.1	337.1	294
DYRK2	46	4	60.9	22.3	20.2
DYRK2	51.5	60.1	51.2	15.8	23.9
DYRK2	100.4	80.5	81.4	90.9	81.6
DYRK2	6.1	4.4	14.9	9.6	5.2
FAM13A	57.7	105.2	124.5	139.2	190.6
FAM13A	479.7	218.1	199.3	158.1	520.1
MPP1	62.5	125.9	40.4	67.7	119.3
RHOBTB3	83.3	105.2	64.9	98.3	125
RHOBTB3	10.5	58.5	53.8	86.7	276.1
CREBZF	11.7	4.2	3.5	24.6	14.7
CREBZF	68.6	97.7	57.9	41.8	39.7
CREBZF	67.3	14.9	38.4	26.8	39.1
SIAH1	36.6	49	43.7	83	73.5
SIAH1	244.5	138.7	104.5	110.2	147.3
ACOT1	163	131.6	39.7	130.4	365.3
HLTF	197.7	196.7	140	98.1	182.7
BAG5	3.4	6.4	8.1	2.6	9.5
BAG5	259.9	240.3	143.4	172.1	268.5
ARNT2	9.5	14.1	12	19.4	20.4
TRAF3IP2	48.5	33.2	39.2	50.7	9
RGS1	83.2	34.6	546.7	91.4	32.9
RGS1	10.3	5.1	7.3	33.5	2.8
PYGL	151.7	229.4	248.1	187.7	309.7
STARD3	59.5	38.8	83.4	105.4	32
C7	2768.6	1402	2162.5	683.6	712
ILVBL	50.5	68	93.5	94.5	59.2
FBLN1	733.2	1422.8	1221.6	581.3	568.9
FBLN1	104	429.7	611.3	213.6	212.7
POLD4	4.9	15.2	15.8	18.8	9.4
LOXL2	5.9	7.7	9.1	8.5	6.8
LOXL2	78.4	186.9	194.9	150.1	96
LOXL2	17.7	14.4	13.2	17	18.7
STMN2	3.8	31	13.2	22.7	4.3
STMN2	5.9	6	41	86.6	22
AMOTL2	344	180.9	109.8	106.4	142.2
MEF2D	25.2	31.5	70.6	126.5	66
MEF2D	11.8	12.8	44.5	18.1	15
LTBR	12.6	63.3	21.9	82.3	35.4
INPP5A	134.4	149.3	111.5	217.9	245.7
LYPLA1	42.8	42.5	46.1	98.1	33.7
TXNDC9	228.7	55.9	147.6	186.9	155.1
BCAM	9.6	25.4	10.8	14.3	12.9
STAT5A	114.6	144.9	60.2	87.2	179.8
IMPA1	211	135.3	97.2	20	71.8
RPL23A	10986	7177.5	5868.7	5684.5	4551.9
ECD	89.2	122.4	110.5	76.7	108.9
SGSM3	52.8	114.2	66	92.5	91.7
SSX2IP	71.6	55.5	36.8	106.4	60.4
SSX2IP	100.6	68.6	80.7	23.8	63.9
SSX2IP	22.2	11.1	24.8	67.2	23.5
SSX2IP	12.7	12.1	9.9	10.4	7.1
SSX2IP	77.8	70.5	49.8	37.4	57.4
RABGAP1L	262.8	143.4	148	127	130.8
SLPI	1269.2	180.6	207.7	283.9	399.2
RNASEH2A	65.1	51	127.1	87.4	170.7
NOP16	37.9	25.8	54.3	26.3	15.6
C5orf15	458.9	301.4	312.6	166.2	233.4
NAA10	83.1	140.4	34.5	133.5	77.1
ZBTB5	180.7	192.3	119.9	282.2	192.2
MVD	3.9	12.8	66.5	21.1	11.4
CYBA	17.1	172	276.2	138	206.8
PTPRN2	125.7	13.3	102.6	11.2	15.3
PTPRN2	3.2	10	4.5	7.8	3.5
UROS	19.2	64	58	8.3	107.3
FH	5.8	4.3	7.3	11.2	2.8
FH	205.6	265.5	236.8	330.2	322.9
SNORA3A	6614.6	7694.9	5671.3	6070	4224.8
PIAS3	52.9	4.9	35.4	25.9	35.8
MTSS1	14.8	25.2	14.3	7.4	12.5
MTSS1	448	424.9	407.6	141.8	303.7
PTPRK	496.2	326.8	279.7	241.4	199.5
NDUFS1	121.7	83.4	62.9	98	72.1
HMBS	77.1	177.4	122.1	172.3	146.9
LAMP2	201.4	148.9	282.8	124	145.6
LAMP2	170.9	104.1	82.7	48.1	6.6
ZBED1	12.5	114.3	106.5	23.6	169.6
CHSY1	311	175.4	320.7	322.4	78.6
NINJ1	21.8	53.7	46.2	116.4	28.3
TIMELESS	103.2	112	169.8	128.3	83.8
STK10	3.7	5.3	7.4	17.5	3.4
TTC37	37.8	109.3	77.7	58.2	94.5
TTC37	249.9	104.3	29.4	71.2	49.4
TP53BP1	153	180.9	39.4	30.5	66.3
BAHD1	13.4	84.2	21.3	80.9	88.6
C2	84.4	170.2	257.6	325.3	201.3
BCAS2	383.9	170.1	180.5	192.7	158.9
TCTA	217.2	161.6	131.7	210.6	170.1
LOC100505585	122.8	89.6	142.9	156.9	148
PRDM2	9.1	34.1	8.2	67.5	11.2
PRDM2	140.9	68.9	117.3	116.6	165
PAPSS2	72.9	39.8	152.4	120.4	100.6
PAPSS2	96.4	140.4	117.6	118.3	129.5
PAPSS2	713.8	206	359.3	198.1	214.1
MDC1	7	10.5	4.8	23	10.5
MDC1	113.6	106.9	71.8	84.8	62.7
PPM1F	68.6	97.4	63.8	118.1	61.6
FOXK2	51.2	86.2	57.7	144	102.7
CAV1	57.4	77.4	39.2	84.9	393.6
CHST15	136.2	66.9	96.6	86.1	10.8
PDHX	205.7	100.7	135.2	97.3	208.7
KLHL21	46.9	11.2	16.6	19.2	29.9
SV2A	37.3	24	6	53.3	44.7
SEMA3B	38.2	42	11.7	28.4	11.3
MIR6872	52.4	14.4	13.4	28	25.7
MYO1E	66.4	38.2	20.9	17	20.6
COG2	164.8	122.7	130.3	173.4	115.3
ANXA8L1	2207.8	237	165.8	362.3	504.5
SMAD2	339.3	167.2	150.6	166.1	204.4
SMAD2	115.3	168.7	227.3	133.8	386
SMAD2	134.4	8.8	57.6	27.4	55.6
CUL2	11.7	5.3	27.7	23.2	35.1
CUL2	76	14.3	108.5	156.8	115.8
BAZ2B	261.8	111	200.8	111.9	110.1
CTNNBIP1	32.7	64.1	55.5	99.3	52.7
BMS1	139.1	95.4	138	107.5	83.8
THBS2	379.5	1055.3	1067.1	486.2	304.8
TGFB1	12.3	73.5	24.9	62.5	36.2
TGFB1	37.7	119.9	83.3	7.8	46.9
KIF2A	61.5	34.6	52.5	13.7	19.7
KIF2A	67.9	37.8	97.5	69.6	110.9
FBLN5	62.9	91	149.8	158.7	308.8
HTRA2	34.6	8.9	19.3	27.8	34.3
SDF2	175.3	201.1	155.5	233.3	228.5
FUBP1	118.3	17.3	117.8	49	34.8
TIMM44	58.4	19.9	12.7	15.5	8.8
TIMM44	31.1	20.7	68.8	130	52.7
MAD2L1BP	46	80.5	125.2	85.1	118.5
MTIF2	168.3	99.9	91.6	17	43.1
RAPGEF2	59.4	116.3	96.6	133.1	109.6
RAPGEF2	494.3	111.6	208	250.6	213.3
CDYL	110.9	17	22.3	15.8	18.5
CDYL	4.4	6.3	6.4	8.9	7.9
CDYL	10.2	11.5	14.9	14.4	8.7
MGAT2	3	3.8	4.3	9.1	5.4
MGAT2	269	100.6	68.1	58.9	47.8
PRPF19	123.7	26.7	10	25.8	32.8
CSF1R	78.1	218.8	163.1	196.8	113.5
DNM1L	27.1	45.4	51.5	40.7	58.8
VPS41	56.6	70.2	37.4	91.7	42.7
SNORA64	1619.7	7264.9	7359.3	5713.8	2768.5
GPRC5A	15	28	17	32.7	20.8
UBE2M	4.3	15.7	12.4	10.5	21.8
PTK2B	133.6	68.6	98.7	118.8	112.3
PTK2B	9.4	13.8	19.2	13	20.2
MIR943	76.3	48.2	38.3	113.1	6.9
EEF1D	528	695.6	436.1	615.8	448
SSSCA1	10.6	17.9	6.6	15.6	10.1
FECH	52.1	70.7	53.7	61.8	53.9
FECH	152.8	170.8	138.5	121.4	189.3
PAN2	99.7	25.3	11.8	62.8	39.8
PCSK7	38.1	50	25.9	51.3	35.9
CCDC86	92.8	151	79.8	140.8	21.7
TP53BP2	96.6	40.7	63.6	94.1	105.3
TRAPPC12	93.2	8.3	49	9.1	6.6
SLC11A2	69	90.8	108.6	210.2	109.1
SLC11A2	179	9.9	50.2	10.7	61.1
SLC11A2	18.9	39.3	26.8	33.3	29.5
IMPA2	46.7	38.5	68	109.9	54.9
SPTLC2	163.7	206.4	204.4	229.1	169.7
SPTLC2	5	14.4	7.2	9	8.1
KIF5C	31.8	14.2	14	10	8.8
KIF5C	82.2	92.1	57.5	118.7	163.2
PDGFRA	1158	564	482.8	182.8	287.5
RB1	312.6	76	149.8	110.9	60.8
SEC61B	415.5	244.7	234.8	271.2	367.5
PICALM	6	11.5	103.4	11.4	68.1
TBP	147.5	129.7	105	24.3	131
RABAC1	84.5	246.3	169.3	231.5	130.7
WTAP	167.5	92.1	397.6	196.9	287.4
HAT1	196.8	131.8	196.1	265.3	186.3
DAPK1	660.3	196.6	237.3	227	272.1
BCL6	727	493.8	615	540.9	1039.9
AP3B1	22.3	30.3	14.8	84.1	74.5
AP3B1	130.1	303.3	279.5	225.1	286.6
KIAA0040	100.8	104.4	56.7	95.3	79.7
KIAA0040	42.4	17.9	94.5	63.6	129.3
SPAG5	35.6	44.1	13.8	67.7	18.9
GABBR1	91.8	23	120.7	205.4	188.7
TRIM14	65.4	59.8	37.4	100	116.6
TRIM14	64	151.4	133.7	26.9	60.3
NECTIN2	91.6	232.7	157.9	308.8	182.3
RABEPK	32.9	99.3	100.7	59.2	92.7
MAP1A	113.7	126.8	154.6	198.8	135.8
MRPL40	89	110.1	92.8	49.3	45.5
IFIT1	395.2	114.1	181.7	22.6	228.2
PAK4	24.8	52.2	24.6	42.6	29.2
SETDB1	17	50.5	10.7	12.2	20.8
AKAP11	383.7	203.7	214.9	203.3	302.7
GLS	79.4	112	149.5	107.9	130.9
GLS	64.5	23.2	66.9	4.8	71.3
GLS	355.7	215.9	173.7	273.8	254
RNF8	109.7	122.7	94.4	154.3	90
RNF8	3.4	17.2	8.4	7.6	10.8
KATNB1	78.1	158.2	146.2	301.3	146.8
KATNB1	3	3.6	4.6	37.8	3.1
SLC33A1	122.1	77.8	104.8	94.9	123.4
SLC33A1	33.7	26.2	84.2	17	35.4
CFDP1	149.2	79	88	28.5	192.1
TIMP2	13.5	16.7	77.8	16.7	5.2
ATF6B	54.9	92.7	107.5	126.9	58.5
RGP1	23.6	11.3	10.3	66.7	9.5
RRP8	16.4	43.7	45	44.2	76.1
RRP8	43.4	72.5	37.1	54	104.9
FXR2	19.4	17.2	16.2	22.6	17.4
C16orf62	133.3	145.8	84.8	21.9	86.4
ARFRP1	78.8	115.9	89.8	40.6	200.8
RHOG	198.9	331.8	257.2	294.9	300.1
TFAM	25.3	60	32	111.2	47.6
TFAM	129.2	80.7	58.3	72	62.5
GATM	135.9	17.8	60.8	57.4	30.4
GALT	77.5	123.7	68.9	106.2	85.7
ALDH1A3	170.9	88.7	129.9	33	125
SRPK2	11	16.9	21	33.2	18.2
SRPK2	131.4	59.2	57.4	96.4	91.3
SMARCD1	91.8	95.4	105.1	130.7	77.1
FBN2	68.2	10.9	34.1	45	80.6
RASSF2	203.9	323.9	293.1	375.5	139.4
S100A4	864	1067.3	919.8	449.7	602.5
DOCK1	176.7	201.6	110.8	84.2	95.5
B4GAT1	248.5	180.5	115.6	224.2	212.8
MIR7113	16.6	66	104	77.9	56.5
MIR7113	130.6	116.8	128.5	116.7	126.6
ABCB6	3.1	3.5	4.7	6.3	3.3
ABCB6	36.2	64	84.9	16.2	61.5
ESRRA	24.4	24.4	105	121.6	28.2
NUP98	43.6	11.9	93	78.1	133.2
NUP98	51.2	65.8	11.5	12.1	72.5
ABCC4	87	5.9	36.9	55.6	19.2
C1orf123	81.2	178.5	86.5	177.6	202.7
CDK9	12.1	8.7	19.2	38.9	31.7
MTRR	13.7	41.8	62.5	19.5	31.6
MTRR	185.1	177.4	108.9	111.9	130.8
PMM2	48.7	5.3	9.4	61.1	82.9
KRR1	134	73	88.9	96.9	98.4
KRR1	0.9	5	25.7	10.6	46.8
KDM4A	74.7	75.3	132.5	135.4	114.6
KDM4A	137.5	209	134.3	162.1	117.3
FAM53B	136.1	305.8	217.8	216.8	152.6
MTFR1	39.7	128.4	70.4	120.1	108.1
MTFR1	104.9	42.2	42.5	16.3	72.5
RFC5	114.7	87.4	40.4	161	33.9
RFC5	10.2	31.4	53.9	9.6	7.8
MTMR2	147.1	79.9	101.4	114.3	128.2
MTMR2	10.9	14.1	15.1	9.7	9.4
CDK1	32.6	36.4	54.4	24.5	69.2
CDK1	32.4	123.5	101.3	96.2	65.2
MYO6	2.4	6	9.2	15.1	10.1
MYO6	137.8	83.2	30	55.9	32.9
ST3GAL5	464.1	269.4	281.9	238.4	232.6
MAPK9	235.8	21.6	13.9	13.3	24.9
APRT	75.5	113.5	58.5	27.6	26
TLE1	12.3	29.4	18.2	63.8	20.6
TLE1	419.1	300.2	212.6	274.6	532.2
TLE1	7.4	10.9	39.8	17.1	15
RABEP1	6.3	11.6	54.2	7	85.1
RFK	261.7	208.8	113.9	106.1	66.5
RFK	60.1	88.3	49.1	50.7	118.7
TSPAN31	85	297.7	154.2	245.1	255
TSPAN31	174.9	92.8	140.8	34.1	122.8
PAFAH1B3	7.7	18.8	15	22.5	90.3
CLK2	36.8	32.1	40.4	16.1	113.1
DVL1	84.2	11.6	75	68.2	55.4
ATXN1	8.1	9.4	3.6	4.9	5.7
ATXN1	245.5	90.6	146.9	65.2	14.2
IL4R	141.6	287.5	198.7	165.8	59.7
UPP1	52.3	12.7	36	5.8	5.2
THOP1	22.3	7.6	39.5	34.3	71.1
LGALS9	17.8	46.4	120.1	8.9	12
NOTCH3	25.2	13.8	23.9	30.8	21.6
NOTCH3	38.2	182.8	146.9	149.2	72
CNOT3	21.7	65.7	29.5	48.7	70.2
FCGBP	81.4	174.9	273.8	17	18.1
UVRAG	183.1	143.6	162.6	130.3	92.8
PDLIM5	35.7	7.6	47.7	84.4	12
PDLIM5	28	72.3	78.4	69.3	67.6
PEX5	156.1	241.4	77.7	233.7	104.6
LINC00094	12.2	7	6.5	15	13.9
NPRL2	3.3	14.2	5.1	7.8	7.7
ZNF24	11.2	45.1	7.8	41.2	86.5
ZNF24	21.3	101.4	45.7	67.6	30.2
EZH1	19.5	9.3	7.2	13.5	11.3
SCAF8	337	86.2	128	94	93.9
CDK2AP2	20.3	25.6	24	67.9	44
PPIP5K2	272.7	85.9	109.3	17.8	59.8
TLN1	49.1	25.7	137.9	218	108.5
FBXO11	189.5	75.3	90.6	134.9	168
CDH3	13.7	16.5	10.1	14.4	11.2
C11orf49	118.9	120.1	81.7	32.7	109.1
DRAP1	6.2	30.5	54.5	62.1	17.7
HDDC2	332.3	262.2	223.1	166.5	374.9
HDDC2	43.8	64.3	9.9	81.7	62.4
DCTN6	319.2	123.4	195.4	210.3	266.9
FAM50A	104	108.1	132.6	113.9	124.4
ARHGEF9	24	54.1	106.9	32.9	35.8
ARHGEF9	55	61.4	11.2	18.1	30.1
MAP2K4	50.3	48.3	43.7	68.2	48.9
MAP2K4	175.1	99.8	100.3	110.1	40
DRG2	6.9	106.5	25.4	6.9	18.6
DRG2	12.7	19.4	30.5	19.1	60.8
NSMAF	206.9	172.4	185.4	110.3	204.1
DTYMK	39.6	16	102.7	43.3	81.2
UNC119	11.4	20.7	12.9	17.7	15.5
TUSC2	5.3	40.4	91.7	19.9	80.2
TUSC2	84.8	136.4	62.5	31.3	23.9
F8A3	156.3	82.4	92.6	56.5	93.4
IRF2	220.7	24.6	72.7	23.7	77.5
LMNB1	50.5	52	48.5	102.5	34
DFFA	69.5	121.9	84.8	184.2	140.9
PHF21A	68.4	72.8	97.5	83.2	60.8
EDEM1	188	176.7	109	172.3	98.5
SAFB2	15.4	13.1	19.3	33	23.1
MIR5193	17	22.6	11.8	19.4	24.6
GBE1	347.1	185.8	141.3	131.5	212
HS2ST1	72.1	84.9	82.1	87.7	4.3
HS2ST1	124.8	60.6	94.1	4.2	13.2
HS2ST1	77.4	78.8	51.5	34.6	8.3
RNF44	186.5	190.2	122.7	155.4	105.4
LAD1	154.2	131.1	79.4	177.1	187
KIAA0355	180.1	157.4	153.3	131	146.2
NPRL3	61.6	6.5	7.4	20.1	15.9
HLA-DQA1	8.9	368.7	13.2	250.4	19.2
CNOT4	174.3	91.7	116.8	54.6	144.9
VPS11	119.1	158.4	29.4	170.2	191.6
LMAN1	11.8	15.4	10.8	21.5	4
LMAN1	4.3	24.1	4.8	9.3	7.4
ATP1A2	7.4	39.7	9.7	11.4	63.2
ATP1A2	412.9	257	34.2	231.6	578.8
JARID2	154	184.6	172.7	301	194.5
JARID2	40.1	117.2	86.2	219	59
AP1S2	134.5	121.4	68.9	77.9	23.4
AP1S2	32.2	83.1	170.1	122	156.4
DMTF1	576.5	298.6	185.5	238.4	434.2
DCK	275.2	111.2	110.3	96.9	36.6
DYNLT3	469.7	281.3	287.5	353.7	267.7
BAMBI	142	101	158.2	188	178
F13A1	627.6	726.6	1592.6	835.7	929
SLC35A1	326.3	122.4	115.3	161.8	125.6
GNL1	33	40.3	7.2	95.2	46.7
HPS1	22.5	118.9	237.1	33	100.7
HPS1	124.9	143.7	90.6	100.8	55.1
STXBP3	193.5	99.3	81.9	84.3	94.6
ARF6	8.5	57	93.3	22.6	101.3
ARF6	271.9	317.6	213.1	285.1	206.8
TGIF1	88.8	79.5	303.9	124	111.7
GTPBP6	90.8	48.1	111.3	101.5	63.7
NCK2	162.6	262.9	263.8	229	264.2
SNRPE	742.3	289.5	228.2	192.6	120.1
PSD4	29.3	36.3	25.2	102.7	38.5
ZNF148	79.9	47.6	87.7	88.2	26.7
ZNF148	37	26.9	50.4	50	42.2
SH2B3	291.3	239.5	243.3	232.6	133.3
ADNP2	63.8	62.6	96.5	132.4	21.1
ADNP2	59	68.6	42.9	42.1	21
CAV2	724.9	351.1	258.6	315.3	740.9
CAV2	417	104.5	89.1	145	333.4
COL5A1	64.7	392.2	219.6	36.8	71.5
M76729	10.1	21.7	25	63.8	20.9
IDE	161.5	113.9	104.8	51.6	109.6
IDE	147.5	252.5	180	240.7	214.8
PTPRM	136.3	168.8	227.3	199.7	214.4
STX5	45	12.5	16.6	22.8	135.9
INPP5D	4.7	7.9	10.5	9.6	9.5
INPP5D	141.3	428.5	305.8	428.4	197.3
KIFAP3	77	48	113.4	12.6	132.8
DHX8	3.6	4.8	5	7	4.8
PHYH	238.6	130.8	92.2	103.3	186.6
ITGB1BP1	267	119.3	135.9	24.6	414.3
ITGB1BP1	260.3	129.6	136.6	138.6	96.3
PPP2R5E	87.8	64	123.8	50.8	104.7
SLC25A12	122.7	79.3	100.8	141.4	87.3
SLC25A12	85.4	103	87.1	30.8	61.8
CEBPZ	162	120.8	148.8	189.8	66.6
TIMM17B	39.8	123.7	14.8	41.3	58.1
UGDH	269.9	69.8	111.2	131.4	81.8
RBBP8	187.8	177	181.2	380.8	133.8
MTF2	40.5	91.9	86.1	59.6	107.4
MTF2	17.3	97.5	85.2	9.1	105.4
MTF2	42.3	10.4	2.4	3.2	3.8
ETV5	51.1	45.5	82.1	59.2	132.8
ETV5	70.1	103.7	115.7	99.2	102.4
AP1G1	80	23.8	81.4	89.5	5.4
ORC4	141	104.1	113.3	131.8	107.2
ORC4	10.4	5.6	4	10.8	4.2
MBD1	197.8	99.1	21.9	45.2	17.6
PSD3	26	18.4	24	15.2	13.4
PSD3	25.4	50.5	18.8	14.1	17.1
CAPN7	164	114.4	106.8	129.1	160.8
CAPN7	6.3	68.1	87.5	44.3	123.4
EZH2	16.9	43.2	26.7	13.6	12
GJA9-MYCBP	110.7	102.4	57.4	79.3	83.6
GJA9-MYCBP	66.9	12.7	67.5	39.5	60.9
GJA9-MYCBP	88.3	92.2	67	34	77.1
MAD2L1	28.6	67.9	45.6	53.6	65.2
ATG13	119.2	190.3	234.2	249.5	375.8
ATG13	109.3	214.6	203.2	187.4	186.3
MMP15	3.9	9.8	6.9	8.9	11.1
POLG	42.8	90.5	44.2	95.3	65.4
DUSP14	194.1	49.4	74.3	60.6	37.9
CRELD1	84.4	123.9	111.2	96.3	139.6
PDLIM7	10	69.7	46.5	16	45.5
PDLIM7	8.9	8.4	6.8	4.2	12.7
NDUFB3	308.4	223.7	198.9	58.4	171.1
SOCS2	3.4	20.2	71.1	51.7	124.4
SOCS2	301.6	205	172.5	213	203.4
TPP2	46.8	176.9	109.2	157.8	138.7
TPP2	176.9	182	184.6	65.4	137.6
CDC40	280.2	174.3	150.8	183.5	123.2
CDC40	34.3	49.5	56.3	40.9	4.9
PCF11	323.7	117	95.7	118.6	121.2
RPS6KA1	79.8	98.8	56	70.4	81.2
SRSF5	708.9	718.9	694.1	635.8	564.3
APOE	7.2	103.2	72.6	12.3	36
APOE	48.5	169.3	168.6	14.3	6
GOLGA1	124.6	106.4	84.5	99.4	140
GOLGA1	59.6	61	75.4	45	46.8
DGKA	127.3	182.4	218	214.3	147.6
TBC1D4	246.6	194.1	253.3	219.7	254.5
TBC1D4	79	174.1	157	165.2	223.8
ARRB2	8	23.6	15.2	42.9	136.5
KIF3C	118.9	103.8	82.7	137.1	100.7
KIF3C	78.5	15.1	98.8	20.3	114.9
FKBP2	5.4	15.9	11.7	10.8	19
CTBP1	71.9	194.7	152.1	97.6	97.9
HES1	6.5	10.3	70.1	19.6	7.5
HES1	67.9	62.3	158.7	160.1	86.4
HES1	224.5	105.5	211.7	167	144.5
PSMA4	291.1	488.9	596.4	348.3	426
GALNT3	67.2	6.7	54.1	88.7	10.2
GALNT3	14.7	32.5	8.6	71	27.5
PSG11	15.2	47.2	46.5	49.5	72.4
TF	90.9	115.6	55.4	164.4	91.7
PRPS2	179.1	114.1	115.7	78.6	125.3
KCNAB2	116.8	156.2	315.3	113.2	202.8
RNF6	331.4	97.8	88.2	62.2	35.4
ARMCX2	183.5	98.8	158.4	34	156.6
PSMG1	139	119.6	162.7	170	112.1
MFAP1	234.4	191.9	161.8	199	199.6
PPL	131.5	9.1	7.5	13.9	8.2
SATB1	19.4	20.8	86.8	114	155.2
DDB2	93.9	39.6	147.4	14.8	5.8
AP3M2	101.9	114	130.5	111.2	28.6
LMNA	78.2	137.9	142	85.4	126.8
LZTR1	114.2	136.5	130.1	216.4	184.9
NELL2	597.1	210.7	98.7	138	288.3
MMD	445.1	539.5	265.8	411.3	1477
PDCD6	205.7	119.7	152.5	100.5	188.7
CD53	676.1	890.7	786.5	682.4	392.2
MFAP2	8.6	11	59.9	12.4	41.9
CCNA2	32.4	86.7	141	70.4	66.3
