X	covid	covid2	control	control2						
TEKT3	0	10	31	14						
MYH2	0	0	0	0						
HS3ST3B1	375	350	390	573						
SLC25A35	127	123	73	83						
MRPS7	5122	5072	2592	2652						
GGA3	1927	2086	1914	1828						
ARMC7	360	415	235	272						
NUP85	2161	2500	1700	1963						
SLC25A19	674	787	286	337						
MIF4GD	1031	981	958	1019						
NT5C	863	827	992	1025						
MSTO1	2345	2445	1575	1799						
C1orf61	3	1	4	5						
TTF1	454	495	538	536						
GTF3C4	1209	1189	974	1006						
DDX31	620	663	362	546						
BARHL1	0	0	0	0						
KIR2DL1	0	0	0	0						
PPP1R12C	706	791	577	421						
MBOAT7	5308	5175	3557	4135						
SRMS	0	0	2	2						
OPRL1	22	8	20	28						
LINC00029	0	0	0	0						
SLC2A4RG	465	601	515	516						
NPBWR2	0	0	0	0						
FNDC11	18	31	98	66						
BHLHE23	0	0	0	0						
PPDPF	4276	4761	5236	4678						
IL1B	578	528	105	190						
PLGLB2	4	15	18	30						
IL37	1392	1252	77	16						
CHCHD5	708	674	492	550						
PAX8	48	44	12	7						
INSIG2	3849	3801	2833	3995						
POLR1B	2285	2418	1103	1399						
HTR5BP	0	0	0	1						
CCDC93	1463	1624	1441	1524						
PSD4	2521	2560	2211	2198						
SLC25A23	6346	5943	3785	4203						
PSPN	43	39	73	127						
GTF2F1	2361	2244	1286	1366						
ALKBH7	689	776	640	757						
CLPP	2946	2851	1392	1654						
TNFSF9	1511	1360	606	834						
GRIA3	0	0	7	1						
THOC2	3433	3472	3711	4257						
MED1	642	649	748	691						
RPL23	4006	4357	3776	4126						
AC046185.1	0	0	0	0						
ATG4C	814	767	421	549						
CD70	8	6	1	5						
C3	45646	50682	134276	194845						
SH2D3A	4074	3564	1334	1426						
TRIP10	4639	4764	3660	3382						
GPR108	5900	5953	3485	3693						
TNFSF14	54	75	91	65						
FOSB	197	284	177	245						
OPA3	1074	1162	599	626						
SNRPD2	5104	5657	3361	3508						
RTN2	210	276	157	145						
EML2	1405	1549	2282	2217						
VASP	3858	3556	1082	1203						
SYMPK	3181	3280	2361	2471						
GPCPD1	2738	3005	2610	2353						
SDCBP2	6133	6104	4402	2907						
PANK2	2359	2697	1238	1328						
TGM3	7	0	4561	101						
GNRH2	2	2	1	0						
DEFB126	0	0	0	0						
FOXA2	1311	1348	1352	1681						
FAM182A	31	42	77	242						
CD93	3	3	0	7						
GZF1	730	777	529	808						
PAX1	0	0	0	0						
NAPB	571	624	549	712						
CST8	0	0	0	0						
NKX2-4	2	0	0	0						
CENPB	262	293	222	213						
PSMF1	5690	6271	3232	3875						
NKX2-2	0	0	0	0						
DTD1	1399	1452	684	774						
CSTL1	0	0	0	1						
RBCK1	4359	4715	2542	3126						
TMX4	2689	2098	2035	2625						
CST11	0	0	1	0						
STK35	1634	1651	1985	2198						
SNRPB	7185	7770	3414	3422						
NRSN2	1489	1471	1232	1648						
AP5S1	1100	1158	440	561						
RRBP1	9086	9759	7850	9393						
BMP2	2519	2151	1169	1649						
ZNF133	662	807	621	583						
FLRT3	5158	5658	3027	3527						
OVOL2	709	781	330	309						
PCSK2	3	2	3	9						
GFRA4	0	0	0	0						
MKKS	1497	1635	1066	1407						
BFSP1	105	124	68	94						
DSTN	56399	58216	16345	16269						
LAMP5	0	0	0	0						
SNRPB2	1379	1574	952	889						
MGME1	1172	1170	857	1088						
LRRN4	232	223	147	127						
TBC1D20	2956	3081	2788	3357						
ITPA	1952	2095	892	809						
TCF15	1	0	0	0						
OTOR	0	0	0	0						
MCM8	96	126	104	106						
BANF2	0	0	0	0						
TMEM74B	0	0	24	30						
FAM110A	521	527	896	896						
C20orf187	0	5	0	0						
SIRPD	0	0	0	0						
MRPS26	2928	3128	1582	1727						
DEFB129	0	0	0	0						
S1PR4	64	75	215	253						
NCLN	8542	8207	2511	3003						
CITED1	4	3	5	0						
HNRNPR	7658	7482	3721	4475						
ZNF436	674	722	984	1266						
MAX	3595	3698	3620	3408						
CHURC1-FNTB	263	240	173	108						
ARMCX5	949	769	759	821						
GDF5	68	100	33	52						
MMP24	2473	2162	165	233						
NECAB3	2458	2476	3122	3554						
ID1	9027	8924	10232	11626						
RALY	8518	8602	4721	5687						
DYNLRB1	2458	2702	1849	1878						
C20orf173	0	0	0	0						
EIF2S2	6168	6450	3526	3774						
ERGIC3	6119	6132	3921	4134						
ROMO1	3467	3747	2402	2310						
BPIFB9P	0	0	2	1						
FAM83C	14	16	521	9						
BPIFB1	7726	9014	6215	6828						
CEP250	481	568	1025	1005						
PLAGL2	1592	1572	1071	1579						
MMP24OS	1068	1179	1038	1008						
GRPR	6	7	0	6						
KDM5C	4158	4537	4274	4761						
AMOT	48	38	156	129						
TMEM115	3142	2852	2018	2385						
PSMB2	9901	10475	3429	3833						
AGO3	705	666	629	707						
UROD	4196	4263	2099	2441						
ST3GAL3	445	522	572	680						
TMEM53	1732	1748	881	963						
HECTD3	5635	5414	2539	3181						
KLC1	5428	5581	3026	3567						
XRCC3	492	526	367	376						
TUBGCP3	1390	1648	1061	1304						
MCF2L	207	176	243	231						
F10	6	6	145	87						
PCID2	2138	1922	1369	1695						
PROZ	0	2	3	0						
SLURP1	11	1	2215	56						
LRFN3	187	223	135	146						
IGFLR1	133	108	164	192						
CAPNS1	8589	8933	4535	4641						
PDCD2L	408	484	171	164						
GPR42	0	0	0	1						
RBM42	3185	3511	1697	1730						
KIRREL2	0	0	0	3						
UBA2	4128	4071	2904	3587						
FFAR2	0	1	24	8						
HCST	21	14	25	22						
FFAR1	0	0	0	0						
COX6B1	4614	4920	3321	2838						
KRT36	1	1	1	0						
THRA	197	238	509	625						
CCR7	1	9	7	30						
NR1D1	341	493	456	547						
FRMD8	3148	2966	2665	1992						
PRDX5	9197	9388	7288	8239						
BCL2L12	524	565	206	184						
IRF3	1692	1856	1017	1086						
PRMT1	5714	5659	2757	3247						
RRAS	4122	4317	2479	3217						
PRRG2	334	348	170	198						
SCAF1	337	383	225	288						
PRR12	57	71	67	125						
TSKS	1	2	3	2						
AP006333.1	7	34	23	10						
ASL	2907	2943	1911	1844						
SBDS	8471	8255	3850	4217						
CSN1S1	0	0	0	0						
STATH	2	3	1	0						
HTN1	0	0	0	0						
STAT5A	877	886	505	561						
WNK4	1	5	12	20						
BECN1	7150	6891	4125	4496						
PRKCG	4	2	1	1						
TRAP1	6347	6572	3748	4771						
GLIS2	181	203	172	211						
NSRP1	1038	1253	1337	1280						
DNAJC8	6466	6282	2945	3221						
AHDC1	247	288	494	457						
IFI6	9997	7970	1204	602						
DACH2	0	7	0	1						
ZNF384	1316	1378	1184	1384						
EMG1	2290	2195	1072	1180						
SSX1	0	0	0	0						
UXT	1333	1433	1027	1155						
CFP	3	2	4	0						
ELK1	907	856	686	925						
TIMM17B	1215	1379	1062	1130						
PCNX4	1346	1544	1379	1569						
ATG14	634	589	719	933						
KTN1	4875	5046	4109	4389						
SIX1	599	628	970	1200						
RHOJ	0	22	72	34						
DLGAP5	1107	1104	124	138						
L3HYPDH	291	325	551	528						
HSPA2	275	175	605	314						
ZBTB1	2651	2445	1494	1662						
TRMT5	879	870	701	734						
SGPP1	1793	1765	955	1139						
PLEKHG3	566	493	603	826						
PZP	3	23	2	1						
PRDM7	2	0	0	0						
RHOT1	2293	2255	2239	2551						
EVI2A	1	16	21	15						
OMG	160	254	191	194						
WDR60	685	684	1749	1990						
AIF1L	362	326	632	120						
FAM78A	1	7	4	0						
NUP214	917	1397	1387	1669						
CTAG2	0	0	0	0						
AVPR2	2	0	0	0						
SLC10A3	2456	2475	1520	1884						
MAP2K2	5961	5747	3583	3790						
HNRNPH2	8876	9039	6324	6266						
ARMCX1	910	968	357	389						
TMEM35A	18	16	101	127						
NXF5	0	0	2	0						
TIMM8A	482	507	159	246						
ZC4H2	372	283	213	206						
CANX	38340	37461	24465	33185						
INTS11	3771	4207	2723	2743						
RGS13	0	0	2	0						
IPPK	1416	1266	732	802						
ZNF484	398	376	356	502						
OMD	4	5	8	0						
FGD3	355	294	239	102						
HIVEP3	192	212	152	195						
PPCS	3716	3813	3124	3197						
EDN2	293	288	137	293						
BCL11B	5	20	23	24						
COX7C	5547	6002	4211	4108						
TRAF2	1648	1616	1064	1209						
ABHD8	1894	1819	491	608						
MASP1	0	2	19	41						
ATP13A4	4567	4926	5648	4113						
PLAAT1	11	20	24	29						
HELB	113	100	124	168						
RAP1B	10094	10101	4973	5543						
IL22	0	0	0	1						
TSPAN8	529	469	515	519						
BEST3	4	3	0	0						
RAB3IP	1349	1593	664	992						
PTPRB	40	84	15	41						
DYRK2	747	656	684	946						
YEATS4	629	593	361	349						
TAS2R3	0	0	0	0						
TAS2R4	2	4	16	11						
TAS2R5	4	6	31	38						
CRYGN	0	1	16	36						
LRRC61	903	972	425	639						
TRPV5	0	2	0	5						
IDUA	1052	956	1364	1581						
FGFRL1	1361	1261	836	984						
TMEM175	947	1025	1261	1310						
AUNIP	117	120	32	11						
PIN1	2264	2360	1445	1419						
FBXL12	647	704	718	694						
EMC1	3536	3637	2194	2792						
PLA2G5	0	0	0	0						
UBR4	1105	1040	2225	2289						
HP1BP3	5745	6356	7308	8010						
ADGRE2	179	244	73	165						
SIN3B	1609	1652	1145	1189						
OR7A10	0	0	0	0						
SLC35E1	5130	5125	3325	4248						
EPS15L1	2159	2352	946	1019						
KLF2	255	189	18	29						
OR7C2	0	0	0	0						
OR7C1	10	4	5	6						
F2RL3	3	8	12	22						
UQCR11	4713	4770	3694	3204						
GFER	591	611	421	517						
SYNGR3	29	24	180	165						
PKMYT1	669	742	84	51						
WFIKKN1	12	11	74	116						
WDR24	1265	1296	1371	1571						
FBXL16	7	22	116	146						
CHTF18	837	1073	632	796						
GNG13	0	0	0	0						
TUBBP1	21	21	4	7						
MACF1	2307	2955	4947	5417						
SMARCA4	5340	6031	5211	5670						
KDM4B	1829	1890	2675	3104						
TICAM1	1756	1696	797	749						
METTL25	488	500	259	286						
IL17B	1	0	0	0						
EMC6	1765	1827	1003	1056						
OR1E2	0	0	0	0						
METTL16	1009	1059	725	1122						
TUBA4A	18920	17812	4499	3900						
VIL1	0	4	0	9						
AAMP	6627	6817	4859	5369						
PNKD	4644	5025	4091	4728						
TNFRSF19	509	614	1775	2102						
RNF6	4945	4787	2863	2784						
ECHS1	10632	10565	5778	5797						
ZNF835	21	19	3	13						
AKAP9	1566	2046	3273	3088						
GNG11	162	148	310	300						
SEM1	2884	3089	2178	2249						
GNGT1	0	0	0	3						
HIP1	618	578	382	525						
PTPN12	1390	1696	1833	1953						
POR	11069	12161	10289	11504						
FGL2	0	0	26	16						
STYXL1	1867	1951	1258	1362						
STEAP4	7600	8261	6181	7161						
GNAI1	3457	3103	3418	4114						
PMS2P3	150	114	387	390						
PEX1	1031	1093	1158	1390						
MTERF1	859	813	546	634						
SGCE	1488	1692	988	1073						
RBM48	663	671	774	649						
CASD1	1633	1712	1091	1089						
ZNF780B	184	222	199	198						
LRFN1	4	0	3	15						
ZFP36	2465	2985	3550	3770						
SRD5A3	8489	8662	5503	5723						
SPINK2	9	4	7	1						
RASL11B	26	58	66	36						
PAICS	5840	5663	2572	3948						
KDR	181	166	391	600						
PPAT	1090	982	628	925						
TUBGCP6	2339	2595	3555	4872						
ADM2	125	162	167	174						
DGCR6L	1689	1728	1326	1628						
DGCR8	769	920	632	667						
ASPHD2	69	86	75	68						
VPREB3	1	3	3	1						
SDF2L1	1652	1828	593	618						
GAL3ST1	4	8	22	75						
YWHAH	17035	16814	3628	4137						
RFPL1	0	0	2	0						
RFPL2	0	1	0	1						
C22orf24	4	11	2	11						
POM121L9P	21	23	81	70						
GNAZ	2	1	7	3						
MGAT3	28	95	133	91						
ADORA2A	20	5	126	225						
ATF4	5616	5890	5111	6082						
A4GALT	1235	1163	1369	1432						
RFPL3	0	0	0	5						
CDC42EP1	4420	4359	2878	3108						
APOL3	218	198	146	171						
MCHR1	0	1	302	504						
TPST2	2632	2349	1262	1864						
BAIAP2L2	8	8	7	5						
MPST	3325	3370	3218	3684						
GALR3	3	3	7	0						
TST	804	818	997	962						
APOL5	0	0	0	0						
IGLL1	0	0	0	0						
APOL2	1718	1932	867	916						
RAC2	1179	1192	258	482						
LIF	587	507	340	523						
C22orf23	36	13	61	49						
APOBEC3A	741	795	43	35						
APOBEC3F	251	432	358	412						
RIBC2	143	154	147	231						
KRT17	64776	64198	21463	6260						
TBC1D27P	0	1	1	0						
EMC4	5729	5888	3108	3217						
RNF112	0	3	42	90						
SPECC1	2031	1988	1023	1020						
CPA4	674	595	553	155						
DOCK4	313	364	491	584						
POT1	945	738	743	953						
TAS2R16	0	0	0	0						
ATP6V1F	4289	4338	2996	2948						
LSM8	852	1024	1125	1132						
CDHR3	193	245	257	542						
PRKRIP1	1335	1425	1862	2064						
VGF	5	0	3	2						
PODXL	627	822	435	611						
FOXP2	240	380	548	690						
STRIP2	681	802	428	461						
IFT22	1105	1144	792	838						
MKLN1	2775	2697	2302	2610						
DNAJB9	3735	3459	3500	4421						
FLNC	492	435	578	711						
LRRC4	566	471	265	231						
CALU	16529	15745	8150	10974						
CCDC136	6	19	31	24						
SMO	71	61	135	137						
IRF5	472	522	595	643						
LRRC17	180	146	209	130						
KLHDC10	898	1115	1116	1302						
NDUFA5	2566	2913	2339	2754						
FEZF1	3	3	17	2						
OPN1SW	0	1	0	1						
MRPS12	2269	2457	907	1074						
MYO1B	28884	28143	7520	9325						
HOXD1	142	140	153	172						
HOXD3	0	0	2	0						
MTX2	2151	1990	1258	1359						
PDE11A	15	2	0	6						
CHN1	233	167	662	579						
GAD1	17	32	53	71						
EIF2S2P4	202	294	64	110						
OSGEPL1	499	498	408	443						
ORMDL1	2578	3095	3657	4451						
HAT1	3183	3512	1543	1586						
HOXD9	0	0	0	0						
HOXD10	0	0	0	0						
HOXD11	0	0	0	0						
HOXD13	0	0	0	0						
HERC2	620	833	740	776						
SNRPN	5984	5963	4261	5179						
PSMG2	2746	3016	1659	1682						
TWSG1	5182	4996	3048	3414						
ARHGAP22	254	342	376	393						
WDFY4	0	0	0	0						
EIF2AK4	3311	3376	1747	2159						
MYO5C	5431	5985	4042	4792						
CGNL1	687	915	546	678						
TMOD2	157	191	106	52						
TTBK2	235	282	496	596						
ELL3	580	593	336	519						
CCDC32	1285	1361	624	782						
INO80	1013	1103	631	1007						
ICE2	1771	2107	1318	1958						
DLL4	579	479	155	258						
ALDH1A2	56	69	126	230						
MINDY2	955	1095	1390	1678						
IVD	6629	6569	3619	4400						
KNSTRN	2247	2260	383	243						
DUT	2745	2944	2308	2652						
CHAC1	319	292	262	187						
CLN6	760	877	402	333						
ARPP19	8533	8342	4763	6241						
VPS13C	1126	1193	1609	2039						
CALML4	155	161	263	303						
ISLR	22	8	93	174						
THAP10	129	162	65	84						
LOXL1	184	127	995	880						
ACKR4	20	37	12	6						
ANAPC13	2932	3048	2058	2479						
MBD4	2163	2111	1948	2432						
COPB1	14427	13704	7790	9656						
PSMA1	8882	8894	3741	3591						
SUMF2	3854	3494	3645	4707						
PALLD	3281	3327	2245	2075						
SPCS3	5263	5653	2943	3324						
BBOX1	84	76	131	158						
MYOD1	0	0	0	0						
SERGEF	444	393	341	449						
KCNC1	0	1	0	1						
TPH1	3	11	5	2						
CSRP3	0	0	0	1						
E2F8	321	428	327	271						
DCTD	4407	4484	2754	2827						
SOX15	428	395	527	495						
PIMREG	340	337	36	35						
RPAIN	1274	1458	1600	1728						
USP6	5	7	6	9						
SHBG	21	17	12	10						
PLD2	1093	1155	1539	1443						
AIPL1	5	5	1	0						
CD68	1360	1465	1145	1609						
TXNDC17	8695	8962	4124	4045						
ATP1B2	11	1	65	171						
FXR2	2440	2235	1355	1696						
KIF1C	9995	9351	4613	4047						
MPDU1	5484	5424	1815	2116						
PHF20L1	2416	2437	2095	1954						
LRRC6	153	186	171	242						
CCNT1	453	518	510	569						
PUS7L	635	755	589	508						
KRI1	1452	1560	1189	1419						
ILF3	5023	5497	4366	4460						
SLC44A2	18632	18222	8412	8294						
AP1M2	5996	6159	2897	3306						
CDKN2D	343	366	346	571						
MTUS1	10959	12803	10200	12750						
KLK14	22	0	439	3						
SIGLEC9	1	6	0	1						
KLK10	5760	5142	16280	486						
KLK8	124	105	430	74						
NGDN	1316	1472	1001	1301						
RIPK3	916	911	426	441						
ADCY4	24	12	95	154						
RAB2B	665	677	618	753						
BCL2L2	246	343	430	329						
AJUBA	4414	4717	1881	1988						
DTD2	796	818	240	338						
PARP2	1658	1943	1431	1653						
HEATR5A	2234	2238	1672	2050						
FOXA1	5343	5191	3740	4743						
SNX6	6847	6919	3845	4066						
EAPP	1514	1530	1348	1508						
EGLN3	337	314	4307	8332						
MIS18BP1	1090	1000	960	1113						
NRL	70	72	49	62						
RNASE1	45860	43223	11364	12241						
NEDD8	4605	5030	2819	2536						
DAD1	6703	6950	4137	4324						
TEP1	349	637	363	399						
EPB41L4A	872	734	740	796						
CDO1	3	0	2	0						
REEP5	11342	11226	6075	6540						
ITFG1	5041	5381	3514	4528						
QRICH2	30	45	40	28						
FOXJ1	332	475	680	1028						
SEC14L1	1455	1060	864	629						
RHBDF2	1995	1835	1612	2129						
AANAT	0	1	0	5						
ARHGEF6	12	34	94	137						
MAP7D3	220	150	134	141						
FGF13	68	93	26	43						
ASH2L	2408	2130	1309	1477						
TTI2	1110	1150	516	533						
ART1	0	0	0	1						
CHRNA10	9	18	20	13						
CDKN1C	128	110	423	589						
SGO1	223	214	56	54						
TTTY1B	0	0	0	0						
RPS4Y1	94	108	238	323						
TTTY1	0	0	0	0						
VCY1B	0	0	0	0						
VCY	0	0	0	0						
CDY2B	0	0	0	0						
CDH15	77	110	129	102						
KLF16	223	262	144	105						
PGAP6	10244	10389	4994	4971						
DOHH	1408	1414	445	522						
MAU2	1857	2143	2374	2450						
SHC2	152	125	631	924						
PLPPR3	27	26	71	143						
INS-IGF2	0	0	0	0						
ABHD17A	2953	2915	2648	2428						
LBP	5	12	96	108						
SYT5	16	30	37	64						
TNNI3	3	15	8	21						
CBFA2T3	56	84	89	122						
GAMT	228	232	724	703						
PUDP	2590	2660	1597	1722						
ERMARD	651	609	838	869						
PHF10	1137	1180	2280	2753						
PRRG3	0	0	0	0						
GALNT8	0	0	0	4						
KCNA5	0	0	0	0						
CRACR2A	36	40	19	52						
NXNL2	1	12	11	21						
STARD8	1	0	3	15						
FAM155B	16	14	67	59						
GDPD2	6	10	37	15						
SAT1	64623	69830	76928	70658						
GNL3L	2066	2329	1161	1352						
SH3BP4	2117	2143	1674	2113						
MOSPD2	1050	951	877	841						
DOCK6	1016	1228	2397	2090						
ECSIT	1226	1193	605	919						
LDLR	26288	25164	12328	14262						
ELOF1	1614	1550	809	874						
TSPAN16	0	0	2	2						
ANGPTL8	0	1	3	0						
PRKCSH	4041	4054	3820	5105						
CNN1	19	20	72	52						
CDC16	3494	3514	1951	2243						
ZSCAN10	3	5	2	5						
THEM6	2021	2039	1343	1544						
NECTIN2	8370	8439	4049	4445						
APOE	712	658	2995	3727						
TOMM40	4112	4376	1363	1599						
APOC1	107	108	92	84						
GADD45G	460	580	1663	1728						
LRCH2	96	115	87	35						
DPP6	0	0	11	16						
XPO7	3006	2710	1965	2352						
ACE2	871	1009	726	383						
FAM98C	414	422	680	693						
SAFB2	1835	1894	2620	3443						
RPL36	7374	7661	5569	5911						
ATP8B3	38	65	125	182						
GDF1	0	0	0	0						
NCAN	0	0	0	0						
KIF1A	0	2	0	0						
GTPBP3	706	795	798	833						
PLVAP	2	0	0	0						
BST2	911	986	349	195						
SLC27A1	993	1161	1660	2249						
NSUN5	1301	1583	658	595						
USHBP1	6	0	4	2						
COLGALT1	4773	5089	2056	2753						
DDA1	1982	2143	1260	1637						
MRPL34	1773	1899	1034	1100						
PGLS	1955	1935	1110	1158						
LSM7	1116	1211	906	871						
TULP4	1594	1863	2366	2568						
SNX9	2928	3119	1803	1731						
RTN4IP1	364	439	165	167						
QRSL1	1083	1152	682	682						
MTRES1	744	700	514	542						
RSPH3	977	993	873	1077						
MAS1	1	0	1	0						
ACSBG2	0	0	5	1						
MLLT1	526	558	461	537						
FUT5	0	0	0	10						
BMP15	1	0	0	3						
AFDN	1704	1803	2231	1932						
ACTN4	17086	16850	6536	7664						
STK33	402	456	255	239						
NDUFA10	4431	4491	3521	4419						
EPO	0	0	0	0						
ARPC1B	31010	29886	7160	8383						
CACNG6	21	15	9	10						
ZSWIM6	340	329	426	408						
FCHO1	176	237	157	254						
UNC13A	1	8	8	11						
MAP1S	2336	2454	1179	1584						
KLHDC7B	18	26	25	13						
PXDN	1904	1551	3394	3944						
SSBP4	1044	1254	1190	1261						
GDF15	12611	12215	10098	18024						
PGPEP1	858	1037	726	964						
IQCN	20	20	43	62						
LSM4	6445	6642	2780	3007						
JUND	6600	6826	3666	4463						
HRC	0	0	49	27						
TRPM4	2791	2789	2796	2996						
OR11H1	0	0	0	0						
SULT4A1	0	0	5	17						
ZNF557	326	305	290	269						
CRB3	2327	2361	1143	964						
OLFM1	63	30	15	63						
CAMSAP1	1028	987	976	940						
UBAC1	1585	1714	1291	1579						
SAG	0	1	3	9						
ZBTB46	67	85	216	174						
HELZ2	711	1025	698	787						
SAMD10	656	674	724	836						
LSP1	4	2	26	64						
TNNT3	63	58	220	194						
TNNI2	31	29	63	70						
H19	68	69	4137	1919						
CYP2G1P	18	16	7	23						
COL5A1	242	247	2501	2372						
ATXN10	8323	8290	4209	4997						
TUBGCP2	3375	3337	2011	2204						
CALY	0	0	7	1						
CYP2E1	230	187	317	123						
PNPLA7	54	65	209	255						
HBZ	0	0	0	0						
PAK4	728	743	672	689						
MNX1	17	21	24	19						
ZNF337	443	521	838	1331						
CEP85	1103	932	716	790						
TAF4	125	182	180	205						
GATA5	0	0	0	0						
RBBP8NL	61	84	154	123						
LAMA5	2258	3164	7832	9728						
OSBPL2	3364	3262	3840	4018						
ADRM1	7205	7229	2674	2656						
ASS1	3059	3365	2660	4241						
PRDM12	2	4	0	4						
EXOSC2	914	1029	565	773						
POMT1	1790	2129	1624	1657						
UCK1	1769	1678	1460	1440						
FIBCD1	24	29	67	69						
PRRC2B	1618	2044	2551	2879						
CHMP2A	5427	5766	4261	4065						
UBE2M	2502	2547	1601	1561						
TRIM28	6574	6776	3777	4928						
METTL26	1779	1844	1994	2281						
YIPF2	2515	2620	1954	2304						
ATG4D	1076	1056	896	933						
EIF2S3	5809	6345	4613	5848						
TMEM160	812	897	341	365						
ZC3H4	184	156	197	174						
NPAS1	33	36	37	43						
GMFG	8	8	14	15						
MAP3K10	98	93	134	99						
ARHGEF16	1981	2085	1690	1908						
LRRC47	2875	2854	2004	2425						
SESN2	2376	2117	1850	1740						
SMPDL3B	2177	2331	898	1376						
ATP5IF1	5349	5541	4977	4727						
MED18	948	902	644	676						
THEMIS2	324	508	144	190						
CLIP1	7304	7704	5824	4753						
CCDC62	11	15	3	7						
HIP1R	5258	5249	3182	3189						
ZNF317	2363	2177	1696	2361						
PPAN	1682	1866	698	831						
EIF3G	3977	4086	2144	2196						
ANGPTL6	23	4	20	23						
SHFL	2111	2532	1105	1254						
DNMT1	2404	2557	1079	1145						
ZNF426	1197	1288	1542	1481						
SLC6A8	735	827	10093	16050						
PNCK	13	1	820	1195						
DKC1	3392	3674	1686	2115						
PLXNA3	1880	1839	1439	1998						
DUSP9	10	10	33	30						
MPP1	760	723	203	386						
ZNF331	379	408	681	1068						
ZNF236	228	320	469	456						
SLC7A10	24	35	11	11						
LRP3	857	905	569	734						
C12orf65	968	1042	911	1337						
NOL11	3518	3616	1343	1476						
UBE4B	1731	1818	1089	1410						
CASZ1	913	881	1063	913						
PKDREJ	0	4	15	8						
HSD17B3	14	5	0	5						
NUTM2F	0	0	0	0						
HABP4	941	913	486	649						
FBP2	0	0	0	0						
SLC35D2	1600	1365	473	487						
PRRG1	514	501	229	404						
UBA1	17613	18574	8868	9977						
RGN	136	96	173	180						
POLN	48	37	31	82						
TXLNGY	10	25	94	118						
TTTY9B	0	0	0	0						
PPIL4	1381	1467	1290	1405						
ULBP2	434	348	202	136						
AKAP12	910	861	522	860						
SYNE1	569	840	1274	1550						
ULBP3	631	711	186	161						
LATS1	876	1033	1014	1167						
EPS8L1	5655	6087	12989	4413						
LILRB2	0	0	0	0						
AAR2	2256	2351	1636	1940						
TTLL9	11	41	20	50						
BPIFA2	64	74	176	228						
RBM39	8806	9643	12400	13907						
COX4I2	0	2	11	7						
BPIFA3	1	0	0	0						
ZNF341	580	577	267	355						
GGT7	356	445	832	1093						
DEFB118	0	0	0	0						
ACSS2	6455	6387	5177	5954						
EDA2R	557	460	707	772						
ARHGEF9	551	627	757	1060						
C1QL1	2	5	22	12						
GFAP	13	12	34	9						
PYY	0	3	4	8						
HIGD1B	1	1	4	7						
ATP6V1E1	6065	6072	3722	3567						
ZNF227	439	472	447	518						
ZNF428	398	435	284	313						
TEX101	0	0	25	0						
ZNF141	295	287	742	780						
CCL25	0	0	0	0						
COX4I1	10206	10610	6812	6612						
EMC8	1848	1763	761	766						
GSE1	1607	1824	1158	1239						
AC010531.1	44	0	0	39						
GINS2	615	762	103	94						
CHMP1A	6084	6253	3741	3878						
SH3BGRL	2815	2868	3028	3316						
COX7B	3080	3283	2660	2021						
SLC34A1	0	1	7	15						
F12	128	132	259	204						
PRR7	355	307	190	285						
NFATC1	283	293	278	213						
IDO1	323	607	182	169						
GJA9	0	46	12	0						
CAP1	41127	39672	14158	12383						
PPT1	7701	7260	2949	3560						
RAB11FIP4	2432	2482	1346	1746						
RLIM	1222	1293	907	1155						
CDX4	0	0	0	0						
ABCB7	753	667	604	581						
TRAF3	1005	886	560	583						
HAUS8	305	429	187	236						
ADGRE3	1	2	12	12						
MRPS25	3823	4033	2848	3244						
SH3BP5	380	306	632	667						
HACL1	1451	1447	805	1013						
TBC1D5	1350	1565	1327	1662						
CAPN7	2169	2175	2067	2585						
RFTN1	2389	2581	1412	1830						
C3orf20	0	0	0	0						
RBSN	1504	1848	1946	2120						
GALNT15	0	7	37	17						
SLC6A6	1765	1869	1790	3023						
KCNC3	33	28	30	48						
NAPSA	46237	47423	63791	80219						
NAPSB	11	5	5	18						
NR1H2	5694	5542	4886	6293						
LRRC4B	0	0	0	7						
PDLIM4	5438	4974	1983	1929						
KIF3A	985	929	577	792						
MGAT1	8295	8273	6199	6935						
GFPT2	324	355	322	551						
TUBG1	5966	5902	1992	2223						
PSME3	13644	13784	3961	4017						
RPL27	7390	8179	4903	4174						
PSMC3IP	190	196	83	99						
AOC3	4	5	48	59						
ACLY	14729	14350	5134	6080						
VPS25	2722	2790	1457	1450						
RAMP2	3	0	7	12						
AOC2	42	28	32	64						
G6PC	0	3	0	0						
AC091132.1	0	3	5	0						
NDUFA2	1920	2042	1780	1666						
ANKHD1	3414	3978	5896	6339						
DIAPH1	9554	9972	4295	4335						
NDFIP1	7730	8039	4572	5670						
UBE2D2	4330	4355	2709	2677						
TTTY6	0	0	0	0						
TTTY6B	0	0	0	0						
EXOC4	2783	2479	2620	3011						
ACAP3	2218	2418	2014	1866						
C1orf159	1111	992	708	712						
ANO1	336	510	48	143						
PPFIA1	2629	2655	1565	1872						
TMEM204	34	15	118	150						
KREMEN2	4	3	14	19						
THOC6	1479	1404	1159	1408						
TRAF7	2490	2709	1176	1344						
BARX1	1	1	2	0						
NINJ1	5477	5717	3351	4186						
CA6	0	0	41	0						
NPHP4	649	647	604	762						
MAP1B	319	336	998	756						
RHOXF2	1	0	15	6						
IL13RA1	10662	9931	6905	8207						
WDR44	1708	1439	1005	586						
CKMT2	2	4	34	32						
ZCCHC9	734	755	584	619						
KRT34	14	3	7	12						
KRT33B	1	1	2	2						
TNS4	750	854	685	635						
TOP2A	3208	4378	990	699						
